"location_id","location_type","avg_income","date","daily_footfall","daily_avg_dwell","daily_vehicle_count","temp_c","is_rain","total_revenue","avg_transaction_value","revenue_per_visitor"
281,street,4600.00,2024-09-23,980,13.64,507,,,,,
282,market,4300.00,2024-09-23,834,12.21,437,,,,,
276,street,5000.00,2024-09-23,438,13.36,228,,,,,
283,industrial_zone,4800.00,2024-09-23,836,12.23,437,,,,,
284,residential_commercial,5000.00,2024-09-23,767,11.79,395,,,,,
285,transport_hub,4500.00,2024-09-23,665,11.25,345,,,,,
178,industrial_zone,8200.00,2024-09-22,1029,10.37,468,,,,,
179,residential_commercial,9500.00,2024-09-22,1090,10.76,503,,,,,
180,transport_hub,9000.00,2024-09-22,1044,10.39,483,,,,,
181,street,17500.00,2024-09-22,1058,10.44,486,,,,,
182,commercial_area,18200.00,2024-09-22,1049,10.42,481,,,,,
183,commercial_area,16800.00,2024-09-22,1099,10.91,502,,,,,
184,residential_commercial,16000.00,2024-09-22,1226,11.57,576,,,,,
185,transport_hub,15500.00,2024-09-22,1251,12.19,597,,,,,
186,street,4700.00,2024-09-22,1235,12.04,587,,,,,
187,industrial_zone,5000.00,2024-09-22,1342,12.91,639,,,,,
188,market,4500.00,2024-09-22,1311,12.68,616,,,,,
189,residential_commercial,4800.00,2024-09-22,1365,13.08,643,,,,,
190,street,5000.00,2024-09-22,1406,13.25,671,,,,,
196,transport_hub,5600.00,2024-09-22,1569,14.70,751,,,,,
197,commercial_area,6000.00,2024-09-22,1794,15.66,874,,,,,
198,market,5400.00,2024-09-22,1716,15.19,842,,,,,
199,residential_commercial,5800.00,2024-09-22,1879,16.22,909,,,,,
242,market,4600.00,2024-09-22,1964,19.03,959,,,,,
241,street,4900.00,2024-09-22,2064,19.79,997,,,,,
240,street,5200.00,2024-09-22,2106,20.30,1014,,,,,
239,industrial_zone,5000.00,2024-09-22,2252,21.31,1084,,,,,
238,residential_commercial,4800.00,2024-09-22,2142,20.57,1039,,,,,
237,market,4300.00,2024-09-22,2218,21.29,1070,,,,,
236,transport_hub,4600.00,2024-09-22,2066,19.94,995,,,,,
230,transport_hub,3800.00,2024-09-22,2314,22.08,1116,,,,,
229,residential_commercial,4000.00,2024-09-22,2248,21.47,1076,,,,,
228,industrial_zone,4200.00,2024-09-22,2368,21.02,1137,,,,,
227,market,3700.00,2024-09-22,2140,20.27,1031,,,,,
226,street,3900.00,2024-09-22,2035,19.41,981,,,,,
225,street,4700.00,2024-09-22,2085,19.94,1007,,,,,
224,residential_commercial,4400.00,2024-09-22,2292,21.55,1104,,,,,
223,industrial_zone,4500.00,2024-09-22,2036,19.65,980,,,,,
222,market,4000.00,2024-09-22,2184,20.63,1044,,,,,
221,transport_hub,4300.00,2024-09-22,1942,19.40,936,,,,,
220,street,5200.00,2024-09-22,1892,17.76,914,,,,,
219,residential_commercial,5000.00,2024-09-22,1986,18.54,966,,,,,
218,transport_hub,4700.00,2024-09-22,2066,19.23,1001,,,,,
217,market,4600.00,2024-09-22,1843,17.43,893,,,,,
216,street,4900.00,2024-09-22,1941,18.16,940,,,,,
215,transport_hub,4600.00,2024-09-22,1873,17.70,909,,,,,
214,street,5000.00,2024-09-22,1917,17.76,927,,,,,
213,residential_commercial,4800.00,2024-09-22,1827,17.14,882,,,,,
212,market,4400.00,2024-09-22,1922,17.86,930,,,,,
211,street,4700.00,2024-09-22,1793,16.85,868,,,,,
240,street,5200.00,2024-09-22,2106,20.30,1014,,,,,
239,industrial_zone,5000.00,2024-09-22,2252,21.31,1084,,,,,
238,residential_commercial,4800.00,2024-09-22,2142,20.57,1039,,,,,
263,governmental_zone,15500.00,2024-09-22,2124,21.09,1061,,,,,
272,market,4400.00,2024-09-22,1707,18.23,835,,,,,
260,transport_hub,11500.00,2024-09-22,1846,18.52,909,,,,,
237,market,4300.00,2024-09-22,2218,21.29,1070,,,,,
161,commercial_area,17800.00,2024-09-22,926,9.23,425,,,,,
259,commercial_area,13000.00,2024-09-22,1864,18.40,928,,,,,
206,industrial_zone,5300.00,2024-09-22,1733,16.42,849,,,,,
275,street,5200.00,2024-09-22,840,14.65,434,,,,,
257,commercial_area,12200.00,2024-09-22,1880,18.71,933,,,,,
247,market,4500.00,2024-09-22,2052,19.74,1003,,,,,
141,street,9800.00,2024-09-22,1174,11.11,528,,,,,
159,industrial_zone,8500.00,2024-09-22,981,9.84,441,,,,,
248,residential_commercial,5000.00,2024-09-22,1946,18.96,947,,,,,
273,residential_commercial,4900.00,2024-09-22,1621,17.04,806,,,,,
203,street,5200.00,2024-09-22,1823,16.65,883,,,,,
249,industrial_zone,4700.00,2024-09-22,2176,21.01,1062,,,,,
205,transport_hub,4900.00,2024-09-22,1750,16.64,859,,,,,
162,street,17000.00,2024-09-22,1001,9.92,458,,,,,
236,transport_hub,4600.00,2024-09-22,2066,19.94,995,,,,,
230,transport_hub,3800.00,2024-09-22,2314,22.08,1116,,,,,
229,residential_commercial,4000.00,2024-09-22,2248,21.47,1076,,,,,
228,industrial_zone,4200.00,2024-09-22,2368,21.02,1137,,,,,
227,market,3700.00,2024-09-22,2140,20.27,1031,,,,,
226,street,3900.00,2024-09-22,2035,19.41,981,,,,,
221,transport_hub,4300.00,2024-09-22,1942,19.40,936,,,,,
221,transport_hub,4300.00,2024-09-22,1942,19.40,936,,,,,
221,transport_hub,4300.00,2024-09-22,1942,19.40,936,,,,,
221,transport_hub,4300.00,2024-09-22,1942,19.40,936,,,,,
221,transport_hub,4300.00,2024-09-22,1942,19.40,936,,,,,
245,transport_hub,4700.00,2024-09-22,2048,19.74,1001,,,,,
244,industrial_zone,4800.00,2024-09-22,2154,20.48,1051,,,,,
243,residential_commercial,5000.00,2024-09-22,2244,21.43,1086,,,,,
242,market,4600.00,2024-09-22,1964,19.03,959,,,,,
241,street,4900.00,2024-09-22,2064,19.79,997,,,,,
240,street,5200.00,2024-09-22,2106,20.30,1014,,,,,
239,industrial_zone,5000.00,2024-09-22,2252,21.31,1084,,,,,
238,residential_commercial,4800.00,2024-09-22,2142,20.57,1039,,,,,
237,market,4300.00,2024-09-22,2218,21.29,1070,,,,,
236,transport_hub,4600.00,2024-09-22,2066,19.94,995,,,,,
230,transport_hub,3800.00,2024-09-22,2314,22.08,1116,,,,,
229,residential_commercial,4000.00,2024-09-22,2248,21.47,1076,,,,,
228,industrial_zone,4200.00,2024-09-22,2368,21.02,1137,,,,,
227,market,3700.00,2024-09-22,2140,20.27,1031,,,,,
226,street,3900.00,2024-09-22,2035,19.41,981,,,,,
225,street,4700.00,2024-09-22,2085,19.94,1007,,,,,
224,residential_commercial,4400.00,2024-09-22,2292,21.55,1104,,,,,
223,industrial_zone,4500.00,2024-09-22,2036,19.65,980,,,,,
222,market,4000.00,2024-09-22,2184,20.63,1044,,,,,
221,transport_hub,4300.00,2024-09-22,1942,19.40,936,,,,,
220,street,5200.00,2024-09-22,1892,17.76,914,,,,,
219,residential_commercial,5000.00,2024-09-22,1986,18.54,966,,,,,
218,transport_hub,4700.00,2024-09-22,2066,19.23,1001,,,,,
217,market,4600.00,2024-09-22,1843,17.43,893,,,,,
216,street,4900.00,2024-09-22,1941,18.16,940,,,,,
215,transport_hub,4600.00,2024-09-22,1873,17.70,909,,,,,
214,street,5000.00,2024-09-22,1917,17.76,927,,,,,
213,residential_commercial,4800.00,2024-09-22,1827,17.14,882,,,,,
212,market,4400.00,2024-09-22,1922,17.86,930,,,,,
211,street,4700.00,2024-09-22,1793,16.85,868,,,,,
190,street,5000.00,2024-09-22,1406,13.25,671,,,,,
189,residential_commercial,4800.00,2024-09-22,1365,13.08,643,,,,,
188,market,4500.00,2024-09-22,1311,12.68,616,,,,,
187,industrial_zone,5000.00,2024-09-22,1342,12.91,639,,,,,
204,residential_commercial,5000.00,2024-09-22,1743,16.29,843,,,,,
262,commercial_area,16000.00,2024-09-22,2529,23.93,1254,,,,,
175,residential_commercial,6000.00,2024-09-22,965,9.81,455,,,,,
186,street,4700.00,2024-09-22,1235,12.04,587,,,,,
266,street,5100.00,2024-09-22,2047,20.68,1025,,,,,
202,market,4800.00,2024-09-22,1784,15.71,876,,,,,
256,street,11800.00,2024-09-22,1930,19.11,959,,,,,
158,residential_commercial,9300.00,2024-09-22,1060,10.40,476,,,,,
279,residential_commercial,5200.00,2024-09-22,539,13.84,279,,,,,
278,industrial_zone,4900.00,2024-09-22,850,14.72,439,,,,,
258,residential_commercial,12000.00,2024-09-22,2030,19.79,1005,,,,,
254,commercial_area,8500.00,2024-09-22,1956,19.05,953,,,,,
261,residential_commercial,14500.00,2024-09-22,1764,17.79,868,,,,,
277,market,4700.00,2024-09-22,697,14.64,354,,,,,
140,transport_hub,4400.00,2024-09-22,518,11.20,231,,,,,
274,industrial_zone,4600.00,2024-09-22,1516,16.58,756,,,,,
185,transport_hub,15500.00,2024-09-22,1251,12.19,597,,,,,
184,residential_commercial,16000.00,2024-09-22,1226,11.57,576,,,,,
183,commercial_area,16800.00,2024-09-22,1099,10.91,502,,,,,
182,commercial_area,18200.00,2024-09-22,1049,10.42,481,,,,,
181,street,17500.00,2024-09-22,1058,10.44,486,,,,,
180,transport_hub,9000.00,2024-09-22,1044,10.39,483,,,,,
179,residential_commercial,9500.00,2024-09-22,1090,10.76,503,,,,,
178,industrial_zone,8200.00,2024-09-22,1029,10.37,468,,,,,
177,commercial_area,11200.00,2024-09-22,1021,10.16,476,,,,,
280,transport_hub,4800.00,2024-09-22,824,14.43,420,,,,,
250,transport_hub,4600.00,2024-09-22,1996,19.38,975,,,,,
160,transport_hub,8300.00,2024-09-22,931,9.29,430,,,,,
255,educational_zone,8200.00,2024-09-22,1934,19.18,960,,,,,
252,industrial_zone,7800.00,2024-09-22,2044,19.67,999,,,,,
265,transport_hub,15000.00,2024-09-22,2419,23.22,1207,,,,,
253,industrial_zone,7600.00,2024-09-22,2012,19.10,980,,,,,
276,street,5000.00,2024-09-22,594,13.70,308,,,,,
264,commercial_area,17000.00,2024-09-22,1714,17.74,865,,,,,
251,street,8300.00,2024-09-22,1942,18.96,949,,,,,
230,transport_hub,3800.00,2024-09-22,2314,22.08,1116,,,,,
229,residential_commercial,4000.00,2024-09-22,2248,21.47,1076,,,,,
228,industrial_zone,4200.00,2024-09-22,2368,21.02,1137,,,,,
227,market,3700.00,2024-09-22,2140,20.27,1031,,,,,
226,street,3900.00,2024-09-22,2035,19.41,981,,,,,
225,street,4700.00,2024-09-22,2085,19.94,1007,,,,,
224,residential_commercial,4400.00,2024-09-22,2292,21.55,1104,,,,,
223,industrial_zone,4500.00,2024-09-22,2036,19.65,980,,,,,
222,market,4000.00,2024-09-22,2184,20.63,1044,,,,,
221,transport_hub,4300.00,2024-09-22,1942,19.40,936,,,,,
220,street,5200.00,2024-09-22,1892,17.76,914,,,,,
219,residential_commercial,5000.00,2024-09-22,1986,18.54,966,,,,,
218,transport_hub,4700.00,2024-09-22,2066,19.23,1001,,,,,
217,market,4600.00,2024-09-22,1843,17.43,893,,,,,
216,street,4900.00,2024-09-22,1941,18.16,940,,,,,
227,market,3700.00,2024-09-22,2140,20.27,1031,,,,,
227,market,3700.00,2024-09-22,2140,20.27,1031,,,,,
227,market,3700.00,2024-09-22,2140,20.27,1031,,,,,
227,market,3700.00,2024-09-22,2140,20.27,1031,,,,,
227,market,3700.00,2024-09-22,2140,20.27,1031,,,,,
267,market,4800.00,2024-09-22,1680,17.61,845,,,,,
268,industrial_zone,5000.00,2024-09-22,2158,21.62,1072,,,,,
269,residential_commercial,5300.00,2024-09-22,1896,19.63,926,,,,,
270,transport_hub,4900.00,2024-09-22,1615,17.30,810,,,,,
271,street,4700.00,2024-09-22,1887,19.60,939,,,,,
143,residential_commercial,9600.00,2024-09-22,1251,11.92,570,,,,,
144,residential_commercial,9400.00,2024-09-22,1235,11.64,557,,,,,
145,transport_hub,9000.00,2024-09-22,1183,11.36,540,,,,,
146,street,9200.00,2024-09-22,1181,10.52,533,,,,,
147,market,8900.00,2024-09-22,1016,9.85,453,,,,,
148,residential_commercial,9400.00,2024-09-22,1025,10.06,457,,,,,
149,industrial_zone,8600.00,2024-09-22,1100,10.53,494,,,,,
150,educational_zone,9100.00,2024-09-22,1054,10.22,471,,,,,
151,residential_commercial,16500.00,2024-09-22,1016,9.94,467,,,,,
152,commercial_area,17200.00,2024-09-22,1110,10.58,499,,,,,
153,street,16000.00,2024-09-22,970,10.23,429,,,,,
154,residential_commercial,16800.00,2024-09-22,1031,9.96,461,,,,,
155,transport_hub,15500.00,2024-09-22,980,9.69,444,,,,,
156,street,8900.00,2024-09-22,1017,9.97,461,,,,,
157,commercial_area,9100.00,2024-09-22,992,9.73,458,,,,,
163,residential_commercial,17500.00,2024-09-22,961,9.56,441,,,,,
164,residential_commercial,16800.00,2024-09-22,1007,9.99,468,,,,,
165,transport_hub,16200.00,2024-09-22,936,9.30,427,,,,,
166,street,7600.00,2024-09-22,887,8.92,420,,,,,
167,commercial_area,7800.00,2024-09-22,896,8.92,426,,,,,
168,residential_commercial,8000.00,2024-09-22,969,9.75,454,,,,,
169,industrial_zone,7200.00,2024-09-22,953,9.47,451,,,,,
170,transport_hub,7000.00,2024-09-22,904,9.11,430,,,,,
171,transport_hub,5900.00,2024-09-22,955,9.38,449,,,,,
172,street,5600.00,2024-09-22,952,9.54,444,,,,,
192,street,5000.00,2024-09-22,1492,13.67,714,,,,,
193,commercial_area,5400.00,2024-09-22,1573,14.35,762,,,,,
194,market,4900.00,2024-09-22,1553,14.16,747,,,,,
195,industrial_zone,5100.00,2024-09-22,1443,13.26,686,,,,,
196,transport_hub,5600.00,2024-09-22,1569,14.70,751,,,,,
197,commercial_area,6000.00,2024-09-22,1794,15.66,874,,,,,
198,market,5400.00,2024-09-22,1716,15.19,842,,,,,
199,residential_commercial,5800.00,2024-09-22,1879,16.22,909,,,,,
200,street,6200.00,2024-09-22,1772,15.63,871,,,,,
201,street,5100.00,2024-09-22,1737,15.36,851,,,,,
207,industrial_zone,5200.00,2024-09-22,1665,15.88,813,,,,,
208,market,5000.00,2024-09-22,1764,16.61,856,,,,,
209,residential_commercial,5400.00,2024-09-22,1891,16.80,909,,,,,
210,transport_hub,5100.00,2024-09-22,1797,16.98,871,,,,,
211,street,4700.00,2024-09-22,1793,16.85,868,,,,,
212,market,4400.00,2024-09-22,1922,17.86,930,,,,,
213,residential_commercial,4800.00,2024-09-22,1827,17.14,882,,,,,
214,street,5000.00,2024-09-22,1917,17.76,927,,,,,
215,transport_hub,4600.00,2024-09-22,1873,17.70,909,,,,,
216,street,4900.00,2024-09-22,1941,18.16,940,,,,,
222,market,4000.00,2024-09-22,2184,20.63,1044,,,,,
223,industrial_zone,4500.00,2024-09-22,2036,19.65,980,,,,,
224,residential_commercial,4400.00,2024-09-22,2292,21.55,1104,,,,,
225,street,4700.00,2024-09-22,2085,19.94,1007,,,,,
226,street,3900.00,2024-09-22,2035,19.41,981,,,,,
227,market,3700.00,2024-09-22,2140,20.27,1031,,,,,
228,industrial_zone,4200.00,2024-09-22,2368,21.02,1137,,,,,
229,residential_commercial,4000.00,2024-09-22,2248,21.47,1076,,,,,
230,transport_hub,3800.00,2024-09-22,2314,22.08,1116,,,,,
231,street,5100.00,2024-09-22,2282,21.77,1096,,,,,
183,commercial_area,16800.00,2024-09-22,1099,10.91,502,,,,,
184,residential_commercial,16000.00,2024-09-22,1226,11.57,576,,,,,
185,transport_hub,15500.00,2024-09-22,1251,12.19,597,,,,,
186,street,4700.00,2024-09-22,1235,12.04,587,,,,,
187,industrial_zone,5000.00,2024-09-22,1342,12.91,639,,,,,
178,industrial_zone,8200.00,2024-09-22,1029,10.37,468,,,,,
179,residential_commercial,9500.00,2024-09-22,1090,10.76,503,,,,,
180,transport_hub,9000.00,2024-09-22,1044,10.39,483,,,,,
181,street,17500.00,2024-09-22,1058,10.44,486,,,,,
182,commercial_area,18200.00,2024-09-22,1049,10.42,481,,,,,
173,market,5300.00,2024-09-22,956,9.66,441,,,,,
173,market,5300.00,2024-09-22,956,9.66,441,,,,,
173,market,5300.00,2024-09-22,956,9.66,441,,,,,
173,market,5300.00,2024-09-22,956,9.66,441,,,,,
173,market,5300.00,2024-09-22,956,9.66,441,,,,,
174,street,5800.00,2024-09-22,1039,10.25,478,,,,,
174,street,5800.00,2024-09-22,1039,10.25,478,,,,,
174,street,5800.00,2024-09-22,1039,10.25,478,,,,,
174,street,5800.00,2024-09-22,1039,10.25,478,,,,,
174,street,5800.00,2024-09-22,1039,10.25,478,,,,,
176,street,9800.00,2024-09-22,956,9.60,448,,,,,
195,industrial_zone,5100.00,2024-09-22,1443,13.26,686,,,,,
194,market,4900.00,2024-09-22,1553,14.16,747,,,,,
193,commercial_area,5400.00,2024-09-22,1573,14.35,762,,,,,
192,street,5000.00,2024-09-22,1492,13.67,714,,,,,
191,transport_hub,5200.00,2024-09-22,1534,13.99,740,,,,,
200,street,6200.00,2024-09-22,1772,15.63,871,,,,,
199,residential_commercial,5800.00,2024-09-22,1879,16.22,909,,,,,
198,market,5400.00,2024-09-22,1716,15.19,842,,,,,
197,commercial_area,6000.00,2024-09-22,1794,15.66,874,,,,,
196,transport_hub,5600.00,2024-09-22,1569,14.70,751,,,,,
190,street,5000.00,2024-09-22,1406,13.25,671,,,,,
189,residential_commercial,4800.00,2024-09-22,1365,13.08,643,,,,,
188,market,4500.00,2024-09-22,1311,12.68,616,,,,,
187,industrial_zone,5000.00,2024-09-22,1342,12.91,639,,,,,
186,street,4700.00,2024-09-22,1235,12.04,587,,,,,
185,transport_hub,15500.00,2024-09-22,1251,12.19,597,,,,,
184,residential_commercial,16000.00,2024-09-22,1226,11.57,576,,,,,
183,commercial_area,16800.00,2024-09-22,1099,10.91,502,,,,,
182,commercial_area,18200.00,2024-09-22,1049,10.42,481,,,,,
181,street,17500.00,2024-09-22,1058,10.44,486,,,,,
180,transport_hub,9000.00,2024-09-22,1044,10.39,483,,,,,
179,residential_commercial,9500.00,2024-09-22,1090,10.76,503,,,,,
178,industrial_zone,8200.00,2024-09-22,1029,10.37,468,,,,,
177,commercial_area,11200.00,2024-09-22,1021,10.16,476,,,,,
176,street,9800.00,2024-09-22,956,9.60,448,,,,,
195,industrial_zone,5100.00,2024-09-22,1443,13.26,686,,,,,
194,market,4900.00,2024-09-22,1553,14.16,747,,,,,
193,commercial_area,5400.00,2024-09-22,1573,14.35,762,,,,,
192,street,5000.00,2024-09-22,1492,13.67,714,,,,,
191,transport_hub,5200.00,2024-09-22,1534,13.99,740,,,,,
200,street,6200.00,2024-09-22,1772,15.63,871,,,,,
215,transport_hub,4600.00,2024-09-22,1873,17.70,909,,,,,
214,street,5000.00,2024-09-22,1917,17.76,927,,,,,
213,residential_commercial,4800.00,2024-09-22,1827,17.14,882,,,,,
212,market,4400.00,2024-09-22,1922,17.86,930,,,,,
211,street,4700.00,2024-09-22,1793,16.85,868,,,,,
142,commercial_area,10200.00,2024-09-22,1182,11.16,536,,,,,
142,commercial_area,10200.00,2024-09-22,1182,11.16,536,,,,,
142,commercial_area,10200.00,2024-09-22,1182,11.16,536,,,,,
142,commercial_area,10200.00,2024-09-22,1182,11.16,536,,,,,
142,commercial_area,10200.00,2024-09-22,1182,11.16,536,,,,,
232,market,4800.00,2024-09-22,2222,21.06,1063,,,,,
233,residential_commercial,5200.00,2024-09-22,2384,22.84,1144,,,,,
234,transport_hub,5000.00,2024-09-22,2298,21.33,1101,,,,,
235,street,5400.00,2024-09-22,2076,20.21,990,,,,,
236,transport_hub,4600.00,2024-09-22,2066,19.94,995,,,,,
242,market,4600.00,2024-09-22,1964,19.03,959,,,,,
243,residential_commercial,5000.00,2024-09-22,2244,21.43,1086,,,,,
244,industrial_zone,4800.00,2024-09-22,2154,20.48,1051,,,,,
245,transport_hub,4700.00,2024-09-22,2048,19.74,1001,,,,,
246,street,4800.00,2024-09-22,2040,20.01,998,,,,,
237,market,4300.00,2024-09-22,2218,21.29,1070,,,,,
238,residential_commercial,4800.00,2024-09-22,2142,20.57,1039,,,,,
239,industrial_zone,5000.00,2024-09-22,2252,21.31,1084,,,,,
240,street,5200.00,2024-09-22,2106,20.30,1014,,,,,
241,street,4900.00,2024-09-22,2064,19.79,997,,,,,
176,street,9800.00,2024-09-22,956,9.60,448,,,,,
177,commercial_area,11200.00,2024-09-22,1021,10.16,476,,,,,
178,industrial_zone,8200.00,2024-09-22,1029,10.37,468,,,,,
179,residential_commercial,9500.00,2024-09-22,1090,10.76,503,,,,,
180,transport_hub,9000.00,2024-09-22,1044,10.39,483,,,,,
177,commercial_area,11200.00,2024-09-22,1021,10.16,476,,,,,
177,commercial_area,11200.00,2024-09-22,1021,10.16,476,,,,,
177,commercial_area,11200.00,2024-09-22,1021,10.16,476,,,,,
177,commercial_area,11200.00,2024-09-22,1021,10.16,476,,,,,
177,commercial_area,11200.00,2024-09-22,1021,10.16,476,,,,,
181,street,17500.00,2024-09-22,1058,10.44,486,,,,,
182,commercial_area,18200.00,2024-09-22,1049,10.42,481,,,,,
183,commercial_area,16800.00,2024-09-22,1099,10.91,502,,,,,
184,residential_commercial,16000.00,2024-09-22,1226,11.57,576,,,,,
185,transport_hub,15500.00,2024-09-22,1251,12.19,597,,,,,
186,street,4700.00,2024-09-22,1235,12.04,587,,,,,
187,industrial_zone,5000.00,2024-09-22,1342,12.91,639,,,,,
188,market,4500.00,2024-09-22,1311,12.68,616,,,,,
189,residential_commercial,4800.00,2024-09-22,1365,13.08,643,,,,,
190,street,5000.00,2024-09-22,1406,13.25,671,,,,,
191,transport_hub,5200.00,2024-09-22,1534,13.99,740,,,,,
192,street,5000.00,2024-09-22,1492,13.67,714,,,,,
193,commercial_area,5400.00,2024-09-22,1573,14.35,762,,,,,
194,market,4900.00,2024-09-22,1553,14.16,747,,,,,
195,industrial_zone,5100.00,2024-09-22,1443,13.26,686,,,,,
196,transport_hub,5600.00,2024-09-22,1569,14.70,751,,,,,
197,commercial_area,6000.00,2024-09-22,1794,15.66,874,,,,,
198,market,5400.00,2024-09-22,1716,15.19,842,,,,,
199,residential_commercial,5800.00,2024-09-22,1879,16.22,909,,,,,
200,street,6200.00,2024-09-22,1772,15.63,871,,,,,
176,street,9800.00,2024-09-22,956,9.60,448,,,,,
224,residential_commercial,4400.00,2024-09-22,2292,21.55,1104,,,,,
245,transport_hub,4700.00,2024-09-22,2048,19.74,1001,,,,,
244,industrial_zone,4800.00,2024-09-22,2154,20.48,1051,,,,,
243,residential_commercial,5000.00,2024-09-22,2244,21.43,1086,,,,,
176,street,9800.00,2024-09-22,956,9.60,448,,,,,
177,commercial_area,11200.00,2024-09-22,1021,10.16,476,,,,,
78,residential_commercial,6100.00,2024-09-21,1105,10.17,505,,,12400.00,42.76,11.22
78,residential_commercial,6100.00,2024-09-21,1105,10.17,505,,,,,
79,street,6300.00,2024-09-21,1245,10.77,577,,,,,
80,market,5800.00,2024-09-21,1190,10.50,547,,,,,
91,street,5100.00,2024-09-21,1191,10.56,544,,,,,
92,market,4800.00,2024-09-21,1193,10.68,552,,,,,
93,residential_commercial,5200.00,2024-09-21,1253,11.36,576,,,,,
94,transport_hub,5000.00,2024-09-21,1247,11.08,573,,,,,
95,street,5400.00,2024-09-21,1201,10.81,556,,,,,
96,street,5700.00,2024-09-21,1233,10.77,570,,,,,
97,market,5400.00,2024-09-21,1231,10.84,563,,,,,
98,street,5900.00,2024-09-21,1233,11.06,573,,,,,
99,commercial_area,6100.00,2024-09-21,1297,11.65,600,,,,,
100,transport_hub,5600.00,2024-09-21,1239,11.03,567,,,,,
101,street,4300.00,2024-09-21,1225,10.94,566,,,,,
102,residential_commercial,4500.00,2024-09-21,1293,11.54,602,,,,,
103,market,4200.00,2024-09-21,1251,11.43,575,,,,,
104,industrial_zone,4600.00,2024-09-21,1309,11.86,609,,,,,
105,transport_hub,4400.00,2024-09-21,1254,11.44,579,,,,,
78,residential_commercial,6100.00,2024-09-21,1105,10.17,505,,,,,
79,street,6300.00,2024-09-21,1245,10.77,577,,,,,
80,market,5800.00,2024-09-21,1190,10.50,547,,,,,
91,street,5100.00,2024-09-21,1191,10.56,544,,,,,
92,market,4800.00,2024-09-21,1193,10.68,552,,,,,
93,residential_commercial,5200.00,2024-09-21,1253,11.36,576,,,,,
94,transport_hub,5000.00,2024-09-21,1247,11.08,573,,,,,
95,street,5400.00,2024-09-21,1201,10.81,556,,,,,
96,street,5700.00,2024-09-21,1233,10.77,570,,,,,
97,market,5400.00,2024-09-21,1231,10.84,563,,,,,
98,street,5900.00,2024-09-21,1233,11.06,573,,,,,
