"location_id","latitude","longitude","location_name","location_type","population","avg_income","competitor_count","competitor_density","catchment_radius_m","created_at"
22,30.0614,31.3479,Nasr City - Makram Ebeid,street,128000,10200.00,61,0.0180,700,2026-01-19 16:03:47.235 +0200
23,30.0638,31.3504,Nasr City - Mustafa El Nahas,street,134000,9500.00,64,0.0189,750,2026-01-19 16:03:47.235 +0200
24,30.0661,31.3528,Nasr City - City Center,commercial_area,142000,10800.00,67,0.0196,750,2026-01-19 16:03:47.235 +0200
25,30.0687,31.3551,Nasr City - El Serag Mall Area,mall,120000,11500.00,36,0.0114,600,2026-01-19 16:03:47.235 +0200
26,30.05,31.3003,Heliopolis - Korba,commercial_area,87000,14500.00,44,0.0138,600,2026-01-19 16:03:47.235 +0200
27,30.0519,31.3031,Heliopolis - Baghdad Street,street,92000,13800.00,47,0.0145,600,2026-01-19 16:03:47.235 +0200
28,30.0542,31.3058,Heliopolis - El Merghany,street,96000,14200.00,49,0.0151,650,2026-01-19 16:03:47.235 +0200
29,30.0568,31.3082,Heliopolis - Roxy Square,commercial_area,98000,15000.00,52,0.0160,650,2026-01-19 16:03:47.235 +0200
30,30.0589,31.3107,Heliopolis - Almaza,residential_commercial,90000,15500.00,40,0.0124,600,2026-01-19 16:03:47.235 +0200
31,30.1166,31.3439,El Matareya Main Street,street,185000,4600.00,79,0.0221,750,2026-01-19 16:03:47.235 +0200
32,30.1189,31.3468,El Matareya Market,market,192000,4400.00,88,0.0246,750,2026-01-19 16:03:47.235 +0200
33,30.1212,31.3491,Ain Shams University Gate,educational_zone,175000,5200.00,63,0.0185,700,2026-01-19 16:03:47.235 +0200
34,30.1236,31.3515,Ain Shams Square,transport_hub,168000,5000.00,71,0.0204,700,2026-01-19 16:03:47.235 +0200
35,30.1259,31.354,Ain Shams - El Zeraeiin,street,162000,4900.00,68,0.0192,700,2026-01-19 16:03:47.235 +0200
36,30.0131,31.2089,Zamalek - 26th of July Corridor,street,52000,18500.00,28,0.0092,550,2026-01-19 16:03:47.235 +0200
37,30.0148,31.2117,Zamalek - Brazil Street,street,48000,19200.00,26,0.0086,500,2026-01-19 16:03:47.235 +0200
38,30.0165,31.2143,Zamalek - Ismail Mohamed,residential_commercial,46000,19800.00,24,0.0079,500,2026-01-19 16:03:47.235 +0200
39,30.0183,31.2169,Zamalek - Gezira Sporting Club Area,commercial_area,54000,20500.00,31,0.0101,550,2026-01-19 16:03:47.235 +0200
40,30.0201,31.2195,Zamalek - Abou El Feda,street,50000,19000.00,29,0.0095,520,2026-01-19 16:03:47.235 +0200
41,30.0012,31.2318,Garden City - Qasr El Ainy,street,42000,17500.00,22,0.0072,500,2026-01-19 16:03:47.235 +0200
42,30.0029,31.2346,Garden City - Simon Bolivar Square,residential_commercial,39000,18200.00,21,0.0068,480,2026-01-19 16:03:47.235 +0200
43,30.0047,31.2372,Garden City - Corniche El Nile,street,45000,18800.00,25,0.0081,520,2026-01-19 16:03:47.235 +0200
44,30.0064,31.2398,Garden City - British Embassy Area,governmental_zone,36000,19500.00,18,0.0060,450,2026-01-19 16:03:47.235 +0200
45,30.0081,31.2425,Garden City - Falaky Square,commercial_area,47000,18000.00,27,0.0087,520,2026-01-19 16:03:47.235 +0200
46,30.0922,31.3214,Nasr City - Ahmed El Zomor,street,138000,9100.00,62,0.0181,720,2026-01-19 16:03:47.235 +0200
47,30.0947,31.3239,Nasr City - Zahraa Nasr City,residential_commercial,145000,8900.00,65,0.0189,750,2026-01-19 16:03:47.235 +0200
48,30.0973,31.3264,Nasr City - Waha District,street,132000,9400.00,59,0.0170,700,2026-01-19 16:03:47.235 +0200
49,30.0998,31.3291,Nasr City - El Hay El Asher,commercial_area,150000,9700.00,71,0.0202,780,2026-01-19 16:03:47.235 +0200
50,30.1024,31.3316,Nasr City - El Hay El Sabea,street,148000,9600.00,69,0.0196,760,2026-01-19 16:03:47.235 +0200
51,30.0789,31.2854,Helwan - Corniche El Nile,street,160000,5200.00,66,0.0190,750,2026-01-19 16:03:47.235 +0200
52,30.0812,31.2881,Helwan - Helwan University Gate,educational_zone,155000,5400.00,58,0.0168,700,2026-01-19 16:03:47.235 +0200
53,30.0836,31.2907,Helwan - 15th of May Axis,street,170000,5100.00,72,0.0205,780,2026-01-19 16:03:47.235 +0200
54,30.0859,31.2932,Helwan - Masaken El Shabab,residential_commercial,148000,5600.00,54,0.0159,700,2026-01-19 16:03:47.235 +0200
55,30.0884,31.2959,Helwan Market Center,market,165000,5000.00,81,0.0231,780,2026-01-19 16:03:47.235 +0200
56,30.0618,31.2164,Agouza - Sudan Street,street,104000,9800.00,51,0.0152,650,2026-01-19 16:03:47.235 +0200
57,30.0639,31.2191,Agouza - Mit Akaba,market,118000,8400.00,63,0.0187,700,2026-01-19 16:03:47.235 +0200
58,30.0661,31.2217,Agouza - El Mohandiseen Border,street,97000,10500.00,46,0.0138,620,2026-01-19 16:03:47.235 +0200
59,30.0682,31.2244,Agouza - Ard El Lewa Axis,commercial_area,126000,8800.00,67,0.0196,720,2026-01-19 16:03:47.235 +0200
60,30.0705,31.227,Agouza - Corniche Nile View,street,92000,11200.00,42,0.0126,600,2026-01-19 16:03:47.235 +0200
61,30.0172,31.1649,Imbaba - Kit Kat Square,transport_hub,180000,4800.00,86,0.0249,800,2026-01-19 16:03:47.235 +0200
62,30.0195,31.1675,Imbaba - Ard El Lewa Entrance,street,172000,5000.00,79,0.0226,780,2026-01-19 16:03:47.235 +0200
63,30.0218,31.1702,Imbaba - El Batal Ahmed Abdel Aziz,street,165000,5200.00,74,0.0212,760,2026-01-19 16:03:47.235 +0200
64,30.0241,31.1728,Imbaba - Geziret Badran,residential_commercial,158000,5400.00,68,0.0198,740,2026-01-19 16:03:47.235 +0200
65,30.0264,31.1755,Imbaba Market Area,market,190000,4700.00,91,0.0263,820,2026-01-19 16:03:47.235 +0200
66,30.0338,31.2614,Sayeda Zeinab - El Khalifa,street,142000,6100.00,64,0.0185,700,2026-01-19 16:03:47.235 +0200
67,30.0361,31.2641,Sayeda Zeinab - Mosque Square,religious_zone,150000,5900.00,71,0.0206,720,2026-01-19 16:03:47.235 +0200
68,30.0384,31.2667,Sayeda Zeinab - Port Said Street,street,138000,6300.00,59,0.0171,680,2026-01-19 16:03:47.235 +0200
69,30.0407,31.2693,Sayeda Zeinab Market,market,165000,5800.00,83,0.0239,750,2026-01-19 16:03:47.235 +0200
70,30.043,31.272,Sayeda Zeinab - Corniche Axis,street,132000,6500.00,55,0.0159,650,2026-01-19 16:03:47.235 +0200
71,30.0412,31.2106,Bulaq - Corniche El Nile,street,158000,5600.00,72,0.0208,740,2026-01-19 16:03:47.235 +0200
72,30.0436,31.2131,Bulaq - Maspero Triangle,commercial_area,162000,5900.00,77,0.0221,760,2026-01-19 16:03:47.235 +0200
73,30.0459,31.2157,Bulaq - Abou El Ela,street,149000,6100.00,68,0.0196,720,2026-01-19 16:03:47.235 +0200
74,30.0483,31.2182,Bulaq Market Core,market,175000,5400.00,88,0.0254,800,2026-01-19 16:03:47.235 +0200
75,30.0507,31.2208,Bulaq - Railway Axis,transport_hub,168000,5200.00,83,0.0238,780,2026-01-19 16:03:47.235 +0200
76,30.0109,31.2834,Old Cairo - Mar Girgis,religious_zone,98000,6700.00,41,0.0127,600,2026-01-19 16:03:47.235 +0200
77,30.0134,31.286,Old Cairo - Fustat Area,historical_zone,105000,6400.00,45,0.0138,620,2026-01-19 16:03:47.235 +0200
78,30.0158,31.2886,Old Cairo - Ain El Sira,residential_commercial,112000,6100.00,52,0.0158,650,2026-01-19 16:03:47.235 +0200
79,30.0183,31.2912,Old Cairo - Magra El Oyoun,street,108000,6300.00,49,0.0149,640,2026-01-19 16:03:47.235 +0200
80,30.0207,31.2938,Old Cairo Market Strip,market,125000,5800.00,66,0.0197,700,2026-01-19 16:03:47.235 +0200
81,30.0708,31.4002,New Cairo - Fifth Settlement Center,commercial_area,82000,16500.00,34,0.0104,650,2026-01-19 16:03:47.235 +0200
82,30.0732,31.4029,New Cairo - North 90th Street,street,78000,17200.00,31,0.0095,650,2026-01-19 16:03:47.235 +0200
83,30.0756,31.4056,New Cairo - South 90th Street,street,76000,16800.00,29,0.0089,650,2026-01-19 16:03:47.235 +0200
84,30.078,31.4082,New Cairo - Downtown Mall,mall,70000,18000.00,22,0.0069,600,2026-01-19 16:03:47.235 +0200
85,30.0804,31.4109,New Cairo - AUC Gate Area,educational_zone,74000,17500.00,27,0.0083,620,2026-01-19 16:03:47.235 +0200
86,30.0068,31.3304,Maadi - Corniche El Nile,street,92000,15500.00,43,0.0131,620,2026-01-19 16:03:47.235 +0200
87,30.0091,31.333,Maadi - Road 9,commercial_area,88000,16000.00,46,0.0140,620,2026-01-19 16:03:47.235 +0200
88,30.0115,31.3356,Maadi - Degla Square,street,84000,16200.00,44,0.0134,600,2026-01-19 16:03:47.235 +0200
89,30.0139,31.3383,Maadi - Zahraa El Maadi,residential_commercial,97000,14800.00,51,0.0154,650,2026-01-19 16:03:47.235 +0200
90,30.0162,31.3409,Maadi Market Area,market,110000,13500.00,63,0.0191,700,2026-01-19 16:03:47.235 +0200
91,30.0607,31.1825,Warraq Island - Main Axis,street,142000,5100.00,69,0.0202,740,2026-01-19 16:03:47.235 +0200
92,30.0631,31.1851,Warraq Island Market,market,158000,4800.00,81,0.0241,800,2026-01-19 16:03:47.235 +0200
93,30.0654,31.1877,Warraq Island - Residential Core,residential_commercial,135000,5200.00,64,0.0189,720,2026-01-19 16:03:47.235 +0200
94,30.0678,31.1903,Warraq Island - Ferry Point,transport_hub,148000,5000.00,73,0.0216,760,2026-01-19 16:03:47.235 +0200
95,30.0701,31.1929,Warraq Island Corniche,street,130000,5400.00,58,0.0172,700,2026-01-19 16:03:47.235 +0200
96,30.0306,31.2474,Bab El Shaaria - El Azhar,street,168000,5700.00,76,0.0220,760,2026-01-19 16:03:47.235 +0200
97,30.033,31.2501,Bab El Shaaria Market,market,182000,5400.00,89,0.0259,820,2026-01-19 16:03:47.235 +0200
98,30.0353,31.2527,Bab El Shaaria - Port Said Axis,street,160000,5900.00,71,0.0206,740,2026-01-19 16:03:47.235 +0200
99,30.0377,31.2553,Bab El Shaaria - Sabtiya Border,commercial_area,155000,6100.00,68,0.0197,720,2026-01-19 16:03:47.235 +0200
100,30.04,31.2579,Bab El Shaaria - Railway Zone,transport_hub,170000,5600.00,82,0.0238,780,2026-01-19 16:03:47.235 +0200
101,30.0914,31.3038,El Salam - Main Entrance,street,195000,4300.00,92,0.0268,840,2026-01-19 16:03:47.235 +0200
102,30.0939,31.3065,El Salam - Housing Blocks,residential_commercial,188000,4500.00,87,0.0252,820,2026-01-19 16:03:47.235 +0200
103,30.0963,31.3092,El Salam Market Center,market,210000,4200.00,101,0.0295,880,2026-01-19 16:03:47.235 +0200
104,30.0987,31.3119,El Salam - Industrial Edge,industrial_zone,175000,4600.00,79,0.0229,800,2026-01-19 16:03:47.235 +0200
105,30.1011,31.3146,El Salam - Ring Road Axis,transport_hub,185000,4400.00,88,0.0256,830,2026-01-19 16:03:47.235 +0200
106,30.0412,31.2106,Bulaq - Corniche El Nile,street,158000,5600.00,72,0.0208,740,2026-01-19 16:03:47.235 +0200
107,30.0436,31.2131,Bulaq - Maspero Triangle,commercial_area,162000,5900.00,77,0.0221,760,2026-01-19 16:03:47.235 +0200
108,30.0459,31.2157,Bulaq - Abou El Ela,street,149000,6100.00,68,0.0196,720,2026-01-19 16:03:47.235 +0200
109,30.0483,31.2182,Bulaq Market Core,market,175000,5400.00,88,0.0254,800,2026-01-19 16:03:47.235 +0200
110,30.0507,31.2208,Bulaq - Railway Axis,transport_hub,168000,5200.00,83,0.0238,780,2026-01-19 16:03:47.235 +0200
111,30.0109,31.2834,Old Cairo - Mar Girgis,religious_zone,98000,6700.00,41,0.0127,600,2026-01-19 16:03:47.235 +0200
112,30.0134,31.286,Old Cairo - Fustat Area,historical_zone,105000,6400.00,45,0.0138,620,2026-01-19 16:03:47.235 +0200
113,30.0158,31.2886,Old Cairo - Ain El Sira,residential_commercial,112000,6100.00,52,0.0158,650,2026-01-19 16:03:47.235 +0200
114,30.0183,31.2912,Old Cairo - Magra El Oyoun,street,108000,6300.00,49,0.0149,640,2026-01-19 16:03:47.235 +0200
115,30.0207,31.2938,Old Cairo Market Strip,market,125000,5800.00,66,0.0197,700,2026-01-19 16:03:47.235 +0200
116,30.0708,31.4002,New Cairo - Fifth Settlement Center,commercial_area,82000,16500.00,34,0.0104,650,2026-01-19 16:03:47.235 +0200
117,30.0732,31.4029,New Cairo - North 90th Street,street,78000,17200.00,31,0.0095,650,2026-01-19 16:03:47.235 +0200
118,30.0756,31.4056,New Cairo - South 90th Street,street,76000,16800.00,29,0.0089,650,2026-01-19 16:03:47.235 +0200
119,30.078,31.4082,New Cairo - Downtown Mall,mall,70000,18000.00,22,0.0069,600,2026-01-19 16:03:47.235 +0200
120,30.0804,31.4109,New Cairo - AUC Gate Area,educational_zone,74000,17500.00,27,0.0083,620,2026-01-19 16:03:47.235 +0200
121,30.0068,31.3304,Maadi - Corniche El Nile,street,92000,15500.00,43,0.0131,620,2026-01-19 16:03:47.235 +0200
122,30.0091,31.333,Maadi - Road 9,commercial_area,88000,16000.00,46,0.0140,620,2026-01-19 16:03:47.235 +0200
123,30.0115,31.3356,Maadi - Degla Square,street,84000,16200.00,44,0.0134,600,2026-01-19 16:03:47.235 +0200
124,30.0139,31.3383,Maadi - Zahraa El Maadi,residential_commercial,97000,14800.00,51,0.0154,650,2026-01-19 16:03:47.235 +0200
125,30.0162,31.3409,Maadi Market Area,market,110000,13500.00,63,0.0191,700,2026-01-19 16:03:47.235 +0200
126,30.0607,31.1825,Warraq Island - Main Axis,street,142000,5100.00,69,0.0202,740,2026-01-19 16:03:47.235 +0200
127,30.0631,31.1851,Warraq Island Market,market,158000,4800.00,81,0.0241,800,2026-01-19 16:03:47.235 +0200
188,29.9352,31.2161,Hawamdeya Market,market,180000,4500.00,85,0.0248,800,2026-01-19 16:03:47.235 +0200
128,30.0654,31.1877,Warraq Island - Residential Core,residential_commercial,135000,5200.00,64,0.0189,720,2026-01-19 16:03:47.235 +0200
129,30.0678,31.1903,Warraq Island - Ferry Point,transport_hub,148000,5000.00,73,0.0216,760,2026-01-19 16:03:47.235 +0200
130,30.0701,31.1929,Warraq Island Corniche,street,130000,5400.00,58,0.0172,700,2026-01-19 16:03:47.235 +0200
131,30.0306,31.2474,Bab El Shaaria - El Azhar,street,168000,5700.00,76,0.0220,760,2026-01-19 16:03:47.235 +0200
132,30.033,31.2501,Bab El Shaaria Market,market,182000,5400.00,89,0.0259,820,2026-01-19 16:03:47.235 +0200
133,30.0353,31.2527,Bab El Shaaria - Port Said Axis,street,160000,5900.00,71,0.0206,740,2026-01-19 16:03:47.235 +0200
134,30.0377,31.2553,Bab El Shaaria - Sabtiya Border,commercial_area,155000,6100.00,68,0.0197,720,2026-01-19 16:03:47.235 +0200
135,30.04,31.2579,Bab El Shaaria - Railway Zone,transport_hub,170000,5600.00,82,0.0238,780,2026-01-19 16:03:47.235 +0200
136,30.0914,31.3038,El Salam - Main Entrance,street,195000,4300.00,92,0.0268,840,2026-01-19 16:03:47.235 +0200
137,30.0939,31.3065,El Salam - Housing Blocks,residential_commercial,188000,4500.00,87,0.0252,820,2026-01-19 16:03:47.235 +0200
138,30.0963,31.3092,El Salam Market Center,market,210000,4200.00,101,0.0295,880,2026-01-19 16:03:47.235 +0200
139,30.0987,31.3119,El Salam - Industrial Edge,industrial_zone,175000,4600.00,79,0.0229,800,2026-01-19 16:03:47.235 +0200
140,30.1011,31.3146,El Salam - Ring Road Axis,transport_hub,185000,4400.00,88,0.0256,830,2026-01-19 16:03:47.235 +0200
141,30.1184,31.3726,El Shorouk City - Central Axis,street,78000,9800.00,34,0.0103,650,2026-01-19 16:03:47.235 +0200
142,30.1209,31.3752,El Shorouk City - Services Area,commercial_area,82000,10200.00,37,0.0112,650,2026-01-19 16:03:47.235 +0200
143,30.1233,31.3779,El Shorouk City - Residential Zone A,residential_commercial,74000,9600.00,29,0.0088,600,2026-01-19 16:03:47.235 +0200
144,30.1257,31.3805,El Shorouk City - Residential Zone B,residential_commercial,76000,9400.00,31,0.0094,600,2026-01-19 16:03:47.235 +0200
145,30.1281,31.3832,El Shorouk City - Ring Road Access,transport_hub,88000,9000.00,41,0.0126,650,2026-01-19 16:03:47.235 +0200
146,30.1602,31.4706,Badr City - Main Commercial Strip,street,69000,9200.00,28,0.0085,620,2026-01-19 16:03:47.235 +0200
147,30.1626,31.4732,Badr City - Central Market,market,73000,8900.00,35,0.0107,650,2026-01-19 16:03:47.235 +0200
148,30.165,31.4759,Badr City - Residential Core,residential_commercial,67000,9400.00,26,0.0079,600,2026-01-19 16:03:47.235 +0200
149,30.1674,31.4785,Badr City - Industrial Edge,industrial_zone,81000,8600.00,39,0.0118,650,2026-01-19 16:03:47.235 +0200
150,30.1698,31.4812,Badr City - University Area,educational_zone,75000,9100.00,33,0.0101,620,2026-01-19 16:03:47.235 +0200
151,30.0458,31.4512,Madinaty - Central Park Zone,residential_commercial,62000,16500.00,21,0.0065,550,2026-01-19 16:03:47.235 +0200
152,30.0482,31.4538,Madinaty - Open Air Mall,commercial_area,65000,17200.00,24,0.0074,550,2026-01-19 16:03:47.235 +0200
153,30.0506,31.4565,Madinaty - Services Strip,street,68000,16000.00,26,0.0080,580,2026-01-19 16:03:47.235 +0200
154,30.053,31.4591,Madinaty - Residential Phase 7,residential_commercial,60000,16800.00,19,0.0058,520,2026-01-19 16:03:47.235 +0200
155,30.0554,31.4618,Madinaty - Ring Road Gate,transport_hub,72000,15500.00,28,0.0086,600,2026-01-19 16:03:47.235 +0200
156,30.1018,31.4245,New Heliopolis - Main Boulevard,street,98000,8900.00,44,0.0134,650,2026-01-19 16:03:47.235 +0200
157,30.1042,31.4271,New Heliopolis - Services Zone,commercial_area,102000,9100.00,47,0.0143,650,2026-01-19 16:03:47.235 +0200
158,30.1066,31.4298,New Heliopolis - Residential Core,residential_commercial,95000,9300.00,41,0.0125,620,2026-01-19 16:03:47.235 +0200
159,30.109,31.4324,New Heliopolis - Industrial Strip,industrial_zone,110000,8500.00,53,0.0161,700,2026-01-19 16:03:47.235 +0200
160,30.1114,31.4351,New Heliopolis - Ring Road Axis,transport_hub,120000,8300.00,58,0.0176,720,2026-01-19 16:03:47.235 +0200
161,30.0917,31.3936,El Rehab - Avenue Mall,commercial_area,88000,17800.00,27,0.0083,600,2026-01-19 16:03:47.235 +0200
162,30.0941,31.3963,El Rehab - Services Center,street,91000,17000.00,29,0.0089,620,2026-01-19 16:03:47.235 +0200
163,30.0965,31.3989,El Rehab - Residential Phase 1,residential_commercial,86000,17500.00,24,0.0074,580,2026-01-19 16:03:47.235 +0200
164,30.0989,31.4016,El Rehab - Residential Phase 5,residential_commercial,83000,16800.00,22,0.0068,560,2026-01-19 16:03:47.235 +0200
165,30.1013,31.4042,El Rehab - Eastern Gate,transport_hub,95000,16200.00,31,0.0095,620,2026-01-19 16:03:47.235 +0200
166,30.1325,31.3174,El Nozha - Airport Road,street,118000,7600.00,56,0.0167,700,2026-01-19 16:03:47.235 +0200
167,30.1349,31.32,El Nozha - Commercial Square,commercial_area,122000,7800.00,59,0.0176,700,2026-01-19 16:03:47.235 +0200
168,30.1373,31.3227,El Nozha - Housing Blocks,residential_commercial,115000,8000.00,52,0.0155,680,2026-01-19 16:03:47.235 +0200
169,30.1397,31.3253,El Nozha - Industrial Workshops,industrial_zone,130000,7200.00,63,0.0188,740,2026-01-19 16:03:47.235 +0200
170,30.1421,31.328,El Nozha - Ring Road Exit,transport_hub,140000,7000.00,71,0.0211,760,2026-01-19 16:03:47.235 +0200
171,30.0219,31.1186,Giza - Haram Ring Road,transport_hub,165000,5900.00,74,0.0215,760,2026-01-19 16:03:47.235 +0200
172,30.0243,31.1212,Giza - Faisal Main Street,street,172000,5600.00,79,0.0229,780,2026-01-19 16:03:47.235 +0200
173,30.0267,31.1239,Giza - Talbia Market,market,188000,5300.00,91,0.0264,820,2026-01-19 16:03:47.235 +0200
174,30.0291,31.1265,Giza - Omraneya Axis,street,160000,5800.00,68,0.0197,740,2026-01-19 16:03:47.235 +0200
175,30.0315,31.1292,Giza - Housing Expansion,residential_commercial,150000,6000.00,61,0.0177,720,2026-01-19 16:03:47.235 +0200
176,29.9608,31.2541,"6th of October - Central Spine",street,105000,9800.00,45,0.0136,700,2026-01-19 16:03:47.235 +0200
177,29.9632,31.2567,"6th of October - Mall of Arabia Area",commercial_area,98000,11200.00,39,0.0118,650,2026-01-19 16:03:47.235 +0200
178,29.9656,31.2594,"6th of October - Industrial Zone A",industrial_zone,120000,8200.00,56,0.0169,750,2026-01-19 16:03:47.235 +0200
179,29.968,31.262,"6th of October - Residential District 1",residential_commercial,102000,9500.00,42,0.0127,680,2026-01-19 16:03:47.235 +0200
180,29.9704,31.2647,"6th of October - Ring Road Gate",transport_hub,115000,9000.00,51,0.0154,720,2026-01-19 16:03:47.235 +0200
181,29.9751,31.2703,Sheikh Zayed - Beverly Hills Axis,street,82000,17500.00,28,0.0085,600,2026-01-19 16:03:47.235 +0200
182,29.9775,31.2729,Sheikh Zayed - Arkan Plaza,commercial_area,79000,18200.00,25,0.0076,580,2026-01-19 16:03:47.235 +0200
183,29.9799,31.2756,Sheikh Zayed - Hyper One Area,commercial_area,86000,16800.00,31,0.0094,620,2026-01-19 16:03:47.235 +0200
184,29.9823,31.2782,Sheikh Zayed - Residential Zone,residential_commercial,90000,16000.00,34,0.0103,650,2026-01-19 16:03:47.235 +0200
185,29.9847,31.2809,Sheikh Zayed - Dahshour Link,transport_hub,94000,15500.00,38,0.0116,680,2026-01-19 16:03:47.235 +0200
186,29.9304,31.2108,Hawamdeya - Main Entrance,street,165000,4700.00,72,0.0210,760,2026-01-19 16:03:47.235 +0200
187,29.9328,31.2134,Hawamdeya - Sugar Factory Area,industrial_zone,150000,5000.00,63,0.0184,720,2026-01-19 16:03:47.235 +0200
189,29.9376,31.2187,Hawamdeya - Residential Core,residential_commercial,158000,4800.00,68,0.0198,740,2026-01-19 16:03:47.235 +0200
190,29.94,31.2214,Hawamdeya - Agricultural Edge,street,145000,5000.00,59,0.0172,700,2026-01-19 16:03:47.235 +0200
191,29.9956,31.1342,Fayoum Road - Kilo 10,transport_hub,130000,5200.00,61,0.0181,720,2026-01-19 16:03:47.235 +0200
192,29.998,31.1368,Fayoum Road - Kilo 12,street,138000,5000.00,66,0.0196,740,2026-01-19 16:03:47.235 +0200
193,30.0004,31.1395,Fayoum Road - Service Area,commercial_area,125000,5400.00,54,0.0160,700,2026-01-19 16:03:47.235 +0200
194,30.0028,31.1421,Fayoum Road - Market Strip,market,150000,4900.00,77,0.0229,780,2026-01-19 16:03:47.235 +0200
195,30.0052,31.1448,Fayoum Road - Industrial Edge,industrial_zone,142000,5100.00,69,0.0205,750,2026-01-19 16:03:47.235 +0200
196,30.0061,31.0974,Maryotia - Ring Road Axis,transport_hub,160000,5600.00,73,0.0212,760,2026-01-19 16:03:47.235 +0200
197,30.0085,31.1001,Maryotia - Tourism Strip,commercial_area,145000,6000.00,61,0.0178,720,2026-01-19 16:03:47.235 +0200
198,30.0109,31.1027,Maryotia Market,market,170000,5400.00,84,0.0245,800,2026-01-19 16:03:47.235 +0200
199,30.0133,31.1054,Maryotia - Residential Blocks,residential_commercial,152000,5800.00,67,0.0195,740,2026-01-19 16:03:47.235 +0200
200,30.0157,31.108,Maryotia - Pyramid View Axis,street,138000,6200.00,58,0.0169,700,2026-01-19 16:03:47.235 +0200
201,30.0821,31.0928,Kafr Hakim - Main Street,street,155000,5100.00,64,0.0189,720,2026-01-19 16:03:47.235 +0200
202,30.0845,31.0954,Kafr Hakim Market,market,172000,4800.00,78,0.0230,780,2026-01-19 16:03:47.235 +0200
203,30.0869,31.0981,Kafr Hakim - Agricultural Core,street,148000,5200.00,59,0.0174,700,2026-01-19 16:03:47.235 +0200
204,30.0893,31.1007,Kafr Hakim - Residential Zone,residential_commercial,160000,5000.00,65,0.0192,740,2026-01-19 16:03:47.235 +0200
205,30.0917,31.1034,Kafr Hakim - Ring Road Access,transport_hub,170000,4900.00,72,0.0211,760,2026-01-19 16:03:47.235 +0200
206,30.0552,31.0649,Abu Rawash - Industrial Area,industrial_zone,140000,5300.00,62,0.0183,720,2026-01-19 16:03:47.235 +0200
207,30.0576,31.0675,Abu Rawash - Quarry Axis,industrial_zone,135000,5200.00,58,0.0171,700,2026-01-19 16:03:47.235 +0200
208,30.06,31.0702,Abu Rawash Market,market,155000,5000.00,71,0.0209,760,2026-01-19 16:03:47.235 +0200
209,30.0624,31.0728,Abu Rawash - Residential Core,residential_commercial,145000,5400.00,63,0.0186,720,2026-01-19 16:03:47.235 +0200
210,30.0648,31.0755,Abu Rawash - Logistics Axis,transport_hub,160000,5100.00,69,0.0204,740,2026-01-19 16:03:47.235 +0200
