"metric_id","location_id","timestamp","people_count","dwell_time_avg","vehicle_count","congestion_level","data_quality_flag","created_at"
43,3,2024-09-01 17:40:00.000 +0300,69,4.1,60,medium,0,2026-01-19 16:03:52.576 +0200
44,3,2024-09-01 19:00:00.000 +0300,102,12.1,42,high,0,2026-01-19 16:03:52.576 +0200
45,3,2024-09-01 19:05:00.000 +0300,108,12.6,45,high,0,2026-01-19 16:03:52.576 +0200
46,3,2024-09-01 19:10:00.000 +0300,111,12.9,47,high,0,2026-01-19 16:03:52.576 +0200
47,3,2024-09-01 19:15:00.000 +0300,109,12.8,46,medium,1,2026-01-19 16:03:52.576 +0200
48,3,2024-09-02 00:30:00.000 +0300,18,5.4,9,low,0,2026-01-19 16:03:52.576 +0200
49,4,2024-09-02 00:35:00.000 +0300,16,5.1,8,low,0,2026-01-19 16:03:52.576 +0200
50,4,2024-09-02 00:40:00.000 +0300,,0.0,0,low,1,2026-01-19 16:03:52.576 +0200
51,4,2024-09-03 11:10:00.000 +0300,79,8.6,32,high,0,2026-01-19 16:03:52.576 +0200
52,4,2024-09-04 12:45:00.000 +0300,84,9.0,36,high,0,2026-01-19 16:03:52.576 +0200
53,4,2024-09-06 18:20:00.000 +0300,91,9.8,39,high,0,2026-01-19 16:03:52.576 +0200
54,4,2024-09-05 15:30:00.000 +0300,88,7.3,40,high,0,2026-01-19 16:03:52.576 +0200
55,4,2024-09-06 20:10:00.000 +0300,73,6.9,37,high,0,2026-01-19 16:03:52.576 +0200
56,4,2024-09-07 08:50:00.000 +0300,33,3.8,48,medium,0,2026-01-19 16:03:52.576 +0200
57,4,2024-09-02 08:00:00.000 +0300,28,5.9,14,low,0,2026-01-19 16:03:52.576 +0200
58,4,2024-09-02 08:05:00.000 +0300,31,6.1,16,medium,0,2026-01-19 16:03:52.576 +0200
59,4,2024-09-02 08:10:00.000 +0300,35,6.4,18,medium,0,2026-01-19 16:03:52.576 +0200
60,4,2024-09-02 08:15:00.000 +0300,39,6.8,19,medium,0,2026-01-19 16:03:52.576 +0200
61,4,2024-09-02 09:30:00.000 +0300,88,9.0,36,high,0,2026-01-19 16:03:52.576 +0200
62,4,2024-09-02 09:35:00.000 +0300,92,9.4,39,high,0,2026-01-19 16:03:52.576 +0200
63,4,2024-09-02 09:40:00.000 +0300,95,9.7,41,high,0,2026-01-19 16:03:52.576 +0200
64,4,2024-09-02 09:45:00.000 +0300,90,9.2,38,high,0,2026-01-19 16:03:52.576 +0200
65,5,2024-09-02 08:45:00.000 +0300,46,8.9,27,medium,0,2026-01-19 16:03:52.576 +0200
66,5,2024-09-02 08:50:00.000 +0300,51,9.3,29,medium,0,2026-01-19 16:03:52.576 +0200
67,5,2024-09-02 08:55:00.000 +0300,56,9.7,31,high,0,2026-01-19 16:03:52.576 +0200
68,5,2024-09-02 10:00:00.000 +0300,63,6.7,34,medium,0,2026-01-19 16:03:52.576 +0200
69,5,2024-09-02 10:05:00.000 +0300,68,7.0,37,high,0,2026-01-19 16:03:52.576 +0200
70,5,2024-09-02 10:10:00.000 +0300,72,7.4,40,high,0,2026-01-19 16:03:52.576 +0200
71,5,2024-09-02 07:50:00.000 +0300,41,3.6,52,medium,0,2026-01-19 16:03:52.576 +0200
72,5,2024-09-02 07:55:00.000 +0300,45,3.9,56,medium,0,2026-01-19 16:03:52.576 +0200
73,5,2024-09-02 08:00:00.000 +0300,48,4.2,59,high,0,2026-01-19 16:03:52.576 +0200
74,5,2024-09-02 11:00:00.000 +0300,74,11.1,29,medium,0,2026-01-19 16:03:52.576 +0200
75,5,2024-09-02 11:05:00.000 +0300,79,11.6,31,medium,0,2026-01-19 16:03:52.576 +0200
76,5,2024-09-02 11:10:00.000 +0300,83,12.0,33,high,0,2026-01-19 16:03:52.576 +0200
77,5,2024-09-02 11:10:00.000 +0300,83,12.0,33,high,1,2026-01-19 16:03:52.576 +0200
78,5,2024-09-02 14:20:00.000 +0300,107,8.3,47,high,0,2026-01-19 16:03:52.576 +0200
79,5,2024-09-02 14:25:00.000 +0300,112,8.6,49,high,0,2026-01-19 16:03:52.576 +0200
80,5,2024-09-02 14:30:00.000 +0300,118,9.0,52,high,0,2026-01-19 16:03:52.576 +0200
81,6,2024-09-02 16:00:00.000 +0300,48,9.8,18,medium,0,2026-01-19 16:03:52.576 +0200
82,6,2024-09-02 16:05:00.000 +0300,45,9.5,17,medium,0,2026-01-19 16:03:52.576 +0200
83,6,2024-09-02 19:30:00.000 +0300,81,7.6,44,high,0,2026-01-19 16:03:52.576 +0200
84,6,2024-09-02 19:35:00.000 +0300,85,7.9,47,high,0,2026-01-19 16:03:52.576 +0200
85,6,2024-09-02 19:40:00.000 +0300,89,8.2,49,high,0,2026-01-19 16:03:52.576 +0200
86,6,2024-09-02 18:10:00.000 +0300,77,4.6,64,high,0,2026-01-19 16:03:52.576 +0200
87,6,2024-09-02 18:15:00.000 +0300,73,4.4,61,medium,0,2026-01-19 16:03:52.576 +0200
88,6,2024-09-02 18:20:00.000 +0300,70,,60,medium,1,2026-01-19 16:03:52.576 +0200
89,6,2024-09-02 20:00:00.000 +0300,119,13.2,51,high,0,2026-01-19 16:03:52.576 +0200
90,6,2024-09-02 20:05:00.000 +0300,124,13.6,54,high,0,2026-01-19 16:03:52.576 +0200
91,6,2024-09-02 20:10:00.000 +0300,128,14.0,57,high,0,2026-01-19 16:03:52.576 +0200
92,6,2024-09-03 00:10:00.000 +0300,26,5.7,12,low,0,2026-01-19 16:03:52.576 +0200
93,6,2024-09-03 00:15:00.000 +0300,24,5.5,11,low,0,2026-01-19 16:03:52.576 +0200
94,6,2024-09-03 00:20:00.000 +0300,21,5.2,10,low,0,2026-01-19 16:03:52.576 +0200
95,6,2024-09-05 10:40:00.000 +0300,93,9.5,40,high,0,2026-01-19 16:03:52.576 +0200
96,6,2024-09-06 17:10:00.000 +0300,57,10.1,23,medium,0,2026-01-19 16:03:52.576 +0200
97,7,2024-09-07 13:30:00.000 +0300,76,7.1,38,high,0,2026-01-19 16:03:52.576 +0200
98,7,2024-09-07 07:40:00.000 +0300,39,3.5,50,medium,0,2026-01-19 16:03:52.576 +0200
99,7,2024-09-07 21:15:00.000 +0300,133,14.5,59,high,0,2026-01-19 16:03:52.576 +0200
100,7,2024-09-03 08:20:00.000 +0300,36,6.2,17,medium,0,2026-01-19 16:03:52.576 +0200
101,7,2024-09-03 08:25:00.000 +0300,40,6.5,19,medium,0,2026-01-19 16:03:52.576 +0200
102,7,2024-09-03 08:30:00.000 +0300,45,6.9,21,medium,0,2026-01-19 16:03:52.576 +0200
103,7,2024-09-03 08:35:00.000 +0300,49,7.2,23,high,0,2026-01-19 16:03:52.576 +0200
104,7,2024-09-03 10:10:00.000 +0300,96,9.8,42,high,0,2026-01-19 16:03:52.576 +0200
105,7,2024-09-03 10:15:00.000 +0300,101,10.2,45,high,0,2026-01-19 16:03:52.576 +0200
106,7,2024-09-03 10:20:00.000 +0300,104,10.5,47,high,0,2026-01-19 16:03:52.576 +0200
107,7,2024-09-03 13:20:00.000 +0300,66,11.3,26,high,0,2026-01-19 16:03:52.576 +0200
108,7,2024-09-03 13:25:00.000 +0300,69,11.7,27,high,0,2026-01-19 16:03:52.576 +0200
109,7,2024-09-03 13:30:00.000 +0300,72,12.0,28,high,0,2026-01-19 16:03:52.576 +0200
110,7,2024-09-03 15:40:00.000 +0300,79,7.5,42,high,0,2026-01-19 16:03:52.576 +0200
111,7,2024-09-03 15:45:00.000 +0300,83,7.9,45,high,0,2026-01-19 16:03:52.576 +0200
112,7,2024-09-03 15:50:00.000 +0300,87,8.3,48,high,0,2026-01-19 16:03:52.576 +0200
113,8,2024-09-03 13:10:00.000 +0300,58,4.0,55,medium,0,2026-01-19 16:03:52.576 +0200
114,8,2024-09-03 13:15:00.000 +0300,61,4.3,58,medium,0,2026-01-19 16:03:52.576 +0200
115,8,2024-09-03 13:20:00.000 +0300,64,4.6,60,high,0,2026-01-19 16:03:52.576 +0200
116,8,2024-09-03 17:00:00.000 +0300,112,13.8,48,high,0,2026-01-19 16:03:52.576 +0200
117,8,2024-09-03 17:05:00.000 +0300,117,14.1,50,high,0,2026-01-19 16:03:52.576 +0200
118,8,2024-09-03 17:10:00.000 +0300,121,14.5,53,high,0,2026-01-19 16:03:52.576 +0200
119,8,2024-09-03 17:15:00.000 +0300,119,14.3,52,medium,1,2026-01-19 16:03:52.576 +0200
120,8,2024-09-03 14:40:00.000 +0300,121,9.1,54,high,0,2026-01-19 16:03:52.576 +0200
121,8,2024-09-03 14:45:00.000 +0300,126,9.4,56,high,0,2026-01-19 16:03:52.576 +0200
122,8,2024-09-03 14:50:00.000 +0300,129,9.6,58,high,0,2026-01-19 16:03:52.576 +0200
123,8,2024-09-03 16:40:00.000 +0300,52,10.0,20,medium,0,2026-01-19 16:03:52.576 +0200
124,8,2024-09-03 16:45:00.000 +0300,49,9.7,19,medium,0,2026-01-19 16:03:52.576 +0200
125,8,2024-09-03 19:50:00.000 +0300,91,8.7,51,high,0,2026-01-19 16:03:52.576 +0200
126,8,2024-09-03 19:55:00.000 +0300,96,9.0,54,high,0,2026-01-19 16:03:52.576 +0200
127,8,2024-09-03 18:30:00.000 +0300,82,4.9,67,high,0,2026-01-19 16:03:52.576 +0200
128,8,2024-09-03 18:35:00.000 +0300,79,4.6,65,medium,0,2026-01-19 16:03:52.576 +0200
129,9,2024-09-03 18:40:00.000 +0300,,4.5,64,medium,1,2026-01-19 16:03:52.576 +0200
130,9,2024-09-03 22:10:00.000 +0300,136,15.0,62,high,0,2026-01-19 16:03:52.576 +0200
131,9,2024-09-03 22:15:00.000 +0300,140,15.3,65,high,0,2026-01-19 16:03:52.576 +0200
132,9,2024-09-04 00:40:00.000 +0300,19,5.1,9,low,0,2026-01-19 16:03:52.576 +0200
133,9,2024-09-04 00:45:00.000 +0300,17,4.9,8,low,0,2026-01-19 16:03:52.576 +0200
134,9,2024-09-06 11:20:00.000 +0300,99,10.1,43,high,0,2026-01-19 16:03:52.576 +0200
135,9,2024-09-07 15:00:00.000 +0300,61,10.6,24,medium,0,2026-01-19 16:03:52.576 +0200
136,9,2024-09-07 20:20:00.000 +0300,88,8.1,46,high,0,2026-01-19 16:03:52.576 +0200
137,9,2024-09-06 23:30:00.000 +0300,129,14.8,60,high,0,2026-01-19 16:03:52.576 +0200
138,9,2024-09-04 07:30:00.000 +0300,33,6.0,15,low,0,2026-01-19 16:03:52.576 +0200
139,9,2024-09-04 07:35:00.000 +0300,37,6.3,17,medium,0,2026-01-19 16:03:52.576 +0200
140,9,2024-09-04 07:40:00.000 +0300,41,6.7,19,medium,0,2026-01-19 16:03:52.576 +0200
141,9,2024-09-04 07:45:00.000 +0300,46,7.1,21,medium,0,2026-01-19 16:03:52.576 +0200
142,9,2024-09-04 09:20:00.000 +0300,97,9.9,44,high,0,2026-01-19 16:03:52.576 +0200
143,9,2024-09-04 09:25:00.000 +0300,101,10.3,46,high,0,2026-01-19 16:03:52.576 +0200
144,9,2024-09-04 09:30:00.000 +0300,105,10.7,49,high,0,2026-01-19 16:03:52.576 +0200
145,10,2024-09-04 09:35:00.000 +0300,108,11.0,51,high,0,2026-01-19 16:03:52.576 +0200
146,10,2024-09-04 08:40:00.000 +0300,52,9.6,28,medium,0,2026-01-19 16:03:52.576 +0200
147,10,2024-09-04 08:45:00.000 +0300,57,10.0,30,medium,0,2026-01-19 16:03:52.576 +0200
148,10,2024-09-04 08:50:00.000 +0300,61,10.4,32,high,0,2026-01-19 16:03:52.576 +0200
149,10,2024-09-04 11:10:00.000 +0300,74,7.2,39,medium,0,2026-01-19 16:03:52.576 +0200
150,10,2024-09-04 11:15:00.000 +0300,78,7.6,42,high,0,2026-01-19 16:03:52.576 +0200
151,10,2024-09-04 11:20:00.000 +0300,83,8.0,45,high,0,2026-01-19 16:03:52.576 +0200
152,10,2024-09-04 12:30:00.000 +0300,59,4.2,57,medium,0,2026-01-19 16:03:52.576 +0200
153,10,2024-09-04 12:35:00.000 +0300,62,4.5,59,medium,0,2026-01-19 16:03:52.576 +0200
154,10,2024-09-04 12:40:00.000 +0300,65,4.8,61,high,0,2026-01-19 16:03:52.576 +0200
155,10,2024-09-04 14:00:00.000 +0300,106,13.4,46,high,0,2026-01-19 16:03:52.576 +0200
156,10,2024-09-04 14:05:00.000 +0300,110,13.8,48,high,0,2026-01-19 16:03:52.576 +0200
157,10,2024-09-04 14:10:00.000 +0300,114,14.1,50,high,0,2026-01-19 16:03:52.576 +0200
158,10,2024-09-04 14:10:00.000 +0300,114,14.1,50,high,1,2026-01-19 16:03:52.576 +0200
159,10,2024-09-04 14:10:00.000 +0300,123,9.0,55,high,0,2026-01-19 16:03:52.576 +0200
160,10,2024-09-04 14:15:00.000 +0300,127,9.3,57,high,0,2026-01-19 16:03:52.576 +0200
161,11,2024-09-04 14:20:00.000 +0300,131,9.6,59,high,0,2026-01-19 16:03:52.576 +0200
162,11,2024-09-04 17:00:00.000 +0300,50,9.9,19,medium,0,2026-01-19 16:03:52.576 +0200
163,11,2024-09-04 17:05:00.000 +0300,47,9.6,18,medium,0,2026-01-19 16:03:52.576 +0200
164,11,2024-09-04 20:00:00.000 +0300,93,8.8,52,high,0,2026-01-19 16:03:52.576 +0200
165,11,2024-09-04 20:05:00.000 +0300,98,9.1,55,high,0,2026-01-19 16:03:52.576 +0200
166,11,2024-09-04 18:50:00.000 +0300,84,5.0,68,high,0,2026-01-19 16:03:52.576 +0200
167,11,2024-09-04 18:55:00.000 +0300,80,4.7,66,medium,0,2026-01-19 16:03:52.576 +0200
168,11,2024-09-04 19:00:00.000 +0300,78,4.6,,medium,1,2026-01-19 16:03:52.576 +0200
169,11,2024-09-04 22:20:00.000 +0300,138,15.2,63,high,0,2026-01-19 16:03:52.576 +0200
170,11,2024-09-04 22:25:00.000 +0300,142,15.6,66,high,0,2026-01-19 16:03:52.576 +0200
171,11,2024-09-05 00:50:00.000 +0300,18,5.0,9,low,0,2026-01-19 16:03:52.576 +0200
172,11,2024-09-05 00:55:00.000 +0300,16,4.8,8,low,0,2026-01-19 16:03:52.576 +0200
173,11,2024-09-06 10:55:00.000 +0300,102,10.4,45,high,0,2026-01-19 16:03:52.576 +0200
174,11,2024-09-07 14:40:00.000 +0300,64,10.9,25,medium,0,2026-01-19 16:03:52.576 +0200
175,11,2024-09-07 21:10:00.000 +0300,90,8.4,48,high,0,2026-01-19 16:03:52.576 +0200
176,11,2024-09-06 23:50:00.000 +0300,131,15.0,61,high,0,2026-01-19 16:03:52.576 +0200
177,12,2024-09-05 06:50:00.000 +0300,21,5.6,11,low,0,2026-01-19 16:03:52.576 +0200
178,12,2024-09-05 06:55:00.000 +0300,24,5.8,12,low,0,2026-01-19 16:03:52.576 +0200
179,12,2024-09-05 07:00:00.000 +0300,27,6.0,14,medium,0,2026-01-19 16:03:52.576 +0200
180,12,2024-09-05 09:10:00.000 +0300,98,10.1,45,high,0,2026-01-19 16:03:52.576 +0200
181,12,2024-09-05 09:15:00.000 +0300,103,10.5,48,high,0,2026-01-19 16:03:52.576 +0200
182,12,2024-09-05 09:20:00.000 +0300,107,10.8,50,high,0,2026-01-19 16:03:52.576 +0200
183,12,2024-09-05 09:00:00.000 +0300,58,10.2,31,medium,0,2026-01-19 16:03:52.576 +0200
184,12,2024-09-05 09:05:00.000 +0300,62,10.6,33,medium,0,2026-01-19 16:03:52.576 +0200
185,12,2024-09-05 09:10:00.000 +0300,66,11.0,35,high,0,2026-01-19 16:03:52.576 +0200
186,12,2024-09-05 12:20:00.000 +0300,86,8.4,46,high,0,2026-01-19 16:03:52.576 +0200
187,12,2024-09-05 12:25:00.000 +0300,90,8.8,49,high,0,2026-01-19 16:03:52.576 +0200
188,12,2024-09-05 12:30:00.000 +0300,94,9.1,51,high,0,2026-01-19 16:03:52.576 +0200
189,12,2024-09-05 13:30:00.000 +0300,66,4.9,63,medium,0,2026-01-19 16:03:52.576 +0200
190,12,2024-09-05 13:35:00.000 +0300,69,5.2,66,medium,0,2026-01-19 16:03:52.576 +0200
191,12,2024-09-05 13:40:00.000 +0300,72,5.5,68,high,0,2026-01-19 16:03:52.576 +0200
192,12,2024-09-05 16:10:00.000 +0300,118,14.3,52,high,0,2026-01-19 16:03:52.576 +0200
193,13,2024-09-05 16:15:00.000 +0300,122,14.7,55,high,0,2026-01-19 16:03:52.576 +0200
194,13,2024-09-05 16:20:00.000 +0300,125,15.0,57,high,0,2026-01-19 16:03:52.576 +0200
195,13,2024-09-05 16:20:00.000 +0300,125,15.0,57,high,1,2026-01-19 16:03:52.576 +0200
196,13,2024-09-05 14:00:00.000 +0300,134,9.9,61,high,0,2026-01-19 16:03:52.576 +0200
197,13,2024-09-05 14:05:00.000 +0300,139,10.2,63,high,0,2026-01-19 16:03:52.576 +0200
198,13,2024-09-05 14:10:00.000 +0300,142,10.5,65,high,0,2026-01-19 16:03:52.576 +0200
199,13,2024-09-05 17:20:00.000 +0300,49,9.7,19,medium,0,2026-01-19 16:03:52.576 +0200
200,13,2024-09-05 17:25:00.000 +0300,46,9.4,18,medium,0,2026-01-19 16:03:52.576 +0200
201,13,2024-09-05 20:30:00.000 +0300,99,9.2,55,high,0,2026-01-19 16:03:52.576 +0200
202,13,2024-09-05 20:35:00.000 +0300,104,9.6,58,high,0,2026-01-19 16:03:52.576 +0200
203,13,2024-09-05 19:10:00.000 +0300,86,5.1,70,high,0,2026-01-19 16:03:52.576 +0200
204,13,2024-09-05 19:15:00.000 +0300,82,4.8,68,medium,0,2026-01-19 16:03:52.576 +0200
205,13,2024-09-05 19:20:00.000 +0300,79,,67,medium,1,2026-01-19 16:03:52.576 +0200
206,13,2024-09-05 22:40:00.000 +0300,145,15.9,69,high,0,2026-01-19 16:03:52.576 +0200
207,13,2024-09-05 22:45:00.000 +0300,149,16.2,72,high,0,2026-01-19 16:03:52.576 +0200
208,13,2024-09-06 00:55:00.000 +0300,15,4.7,7,low,0,2026-01-19 16:03:52.576 +0200
209,14,2024-09-07 10:10:00.000 +0300,106,10.9,49,high,0,2026-01-19 16:03:52.576 +0200
210,14,2024-09-07 15:20:00.000 +0300,67,11.2,26,medium,0,2026-01-19 16:03:52.576 +0200
211,14,2024-09-07 21:40:00.000 +0300,93,8.7,50,high,0,2026-01-19 16:03:52.576 +0200
212,14,2024-09-07 23:55:00.000 +0300,134,15.4,63,high,0,2026-01-19 16:03:52.576 +0200
213,14,2024-09-08 08:10:00.000 +0300,34,6.2,16,medium,0,2026-01-19 16:03:52.576 +0200
214,14,2024-09-08 08:15:00.000 +0300,38,6.5,18,medium,0,2026-01-19 16:03:52.576 +0200
215,14,2024-09-08 08:20:00.000 +0300,42,6.9,20,medium,0,2026-01-19 16:03:52.576 +0200
216,14,2024-09-08 08:25:00.000 +0300,47,7.2,22,high,0,2026-01-19 16:03:52.576 +0200
217,14,2024-09-08 09:40:00.000 +0300,92,9.4,38,high,0,2026-01-19 16:03:52.576 +0200
218,14,2024-09-08 09:45:00.000 +0300,96,9.7,40,high,0,2026-01-19 16:03:52.576 +0200
219,14,2024-09-08 09:50:00.000 +0300,101,10.1,43,high,0,2026-01-19 16:03:52.576 +0200
220,14,2024-09-08 09:55:00.000 +0300,98,9.9,41,high,0,2026-01-19 16:03:52.576 +0200
221,14,2024-09-08 10:00:00.000 +0300,54,10.0,26,medium,0,2026-01-19 16:03:52.576 +0200
222,14,2024-09-08 10:05:00.000 +0300,58,10.4,28,medium,0,2026-01-19 16:03:52.576 +0200
223,14,2024-09-08 10:10:00.000 +0300,62,10.8,30,high,0,2026-01-19 16:03:52.576 +0200
224,14,2024-09-08 11:30:00.000 +0300,71,7.1,36,medium,0,2026-01-19 16:03:52.576 +0200
225,15,2024-09-08 11:35:00.000 +0300,76,7.5,39,high,0,2026-01-19 16:03:52.576 +0200
226,15,2024-09-08 11:40:00.000 +0300,80,7.9,42,high,0,2026-01-19 16:03:52.576 +0200
227,15,2024-09-08 07:40:00.000 +0300,44,3.8,54,medium,0,2026-01-19 16:03:52.576 +0200
228,15,2024-09-08 07:45:00.000 +0300,48,4.1,57,medium,0,2026-01-19 16:03:52.576 +0200
229,15,2024-09-08 07:50:00.000 +0300,51,4.4,59,high,0,2026-01-19 16:03:52.576 +0200
230,15,2024-09-08 12:00:00.000 +0300,86,12.2,34,medium,0,2026-01-19 16:03:52.576 +0200
231,15,2024-09-08 12:05:00.000 +0300,91,12.6,36,medium,0,2026-01-19 16:03:52.576 +0200
232,15,2024-09-08 12:10:00.000 +0300,95,13.0,38,high,0,2026-01-19 16:03:52.576 +0200
233,15,2024-09-08 12:10:00.000 +0300,95,13.0,38,high,1,2026-01-19 16:03:52.576 +0200
234,15,2024-09-08 13:50:00.000 +0300,118,8.8,52,high,0,2026-01-19 16:03:52.576 +0200
235,15,2024-09-08 13:55:00.000 +0300,123,9.1,54,high,0,2026-01-19 16:03:52.576 +0200
236,15,2024-09-08 14:00:00.000 +0300,127,9.4,56,high,0,2026-01-19 16:03:52.576 +0200
237,15,2024-09-08 16:30:00.000 +0300,49,9.6,21,medium,0,2026-01-19 16:03:52.576 +0200
238,15,2024-09-08 16:35:00.000 +0300,46,9.3,20,medium,0,2026-01-19 16:03:52.576 +0200
239,15,2024-09-08 19:10:00.000 +0300,87,8.1,46,high,0,2026-01-19 16:03:52.576 +0200
240,15,2024-09-08 19:15:00.000 +0300,91,8.5,49,high,0,2026-01-19 16:03:52.576 +0200
241,16,2024-09-08 19:20:00.000 +0300,95,8.8,52,high,0,2026-01-19 16:03:52.576 +0200
242,16,2024-09-08 18:20:00.000 +0300,74,4.6,63,medium,0,2026-01-19 16:03:52.576 +0200
243,16,2024-09-08 18:25:00.000 +0300,78,4.9,66,high,0,2026-01-19 16:03:52.576 +0200
244,16,2024-09-08 18:30:00.000 +0300,,4.8,65,medium,1,2026-01-19 16:03:52.576 +0200
245,16,2024-09-08 22:00:00.000 +0300,128,14.6,58,high,0,2026-01-19 16:03:52.576 +0200
246,16,2024-09-08 22:05:00.000 +0300,132,15.0,60,high,0,2026-01-19 16:03:52.576 +0200
247,16,2024-09-09 00:30:00.000 +0300,22,5.3,11,low,0,2026-01-19 16:03:52.576 +0200
248,16,2024-09-09 00:35:00.000 +0300,19,5.0,10,low,0,2026-01-19 16:03:52.576 +0200
249,16,2024-09-10 10:30:00.000 +0300,99,10.0,42,high,0,2026-01-19 16:03:52.576 +0200
250,16,2024-09-11 15:10:00.000 +0300,63,10.7,25,medium,0,2026-01-19 16:03:52.576 +0200
251,16,2024-09-13 20:40:00.000 +0300,92,8.6,50,high,0,2026-01-19 16:03:52.576 +0200
252,16,2024-09-14 23:40:00.000 +0300,135,15.3,64,high,0,2026-01-19 16:03:52.576 +0200
253,16,2024-09-09 07:40:00.000 +0300,29,5.9,14,low,0,2026-01-19 16:03:52.576 +0200
254,16,2024-09-09 07:45:00.000 +0300,33,6.2,16,medium,0,2026-01-19 16:03:52.576 +0200
255,16,2024-09-09 07:50:00.000 +0300,37,6.5,18,medium,0,2026-01-19 16:03:52.576 +0200
