"business_id","location_id","name","business_type","product_type","owner_experience_years","work_hours_per_day","work_days_per_week","store_area_m2","rent_monthly","staff_cost_monthly","utilities_cost_monthly","opening_date","created_at"
19,19,Arab League Perfumes,retail,perfumes,8,11,7,40,21000.00,9000.00,2500.00,2021-06-08,2026-01-19 16:03:50.006 +0200
20,20,Zamalek Bridge Snacks,restaurant,snacks,6,12,7,55,18000.00,13000.00,3200.00,2020-08-14,2026-01-19 16:03:50.006 +0200
21,21,Abbas El Akkad Grill,restaurant,grilled_food,14,14,7,150,30000.00,28000.00,6000.00,2017-02-10,2026-01-19 16:03:50.006 +0200
22,22,Makram Ebeid Mobile Shop,retail,mobile_accessories,7,11,7,60,19000.00,12000.00,2900.00,2021-09-01,2026-01-19 16:03:50.006 +0200
23,23,Mustafa El Nahas Supermarket,grocery,food_items,18,15,7,180,27000.00,32000.00,6500.00,2016-05-07,2026-01-19 16:03:50.006 +0200
24,24,Nasr City Coffee Lounge,cafe,coffee_beverages,5,12,7,70,22000.00,16000.00,3800.00,2022-03-18,2026-01-19 16:03:50.006 +0200
25,25,El Serag Mall Kiosk,retail,snacks,3,10,7,30,14000.00,7000.00,2000.00,2023-06-02,2026-01-19 16:03:50.006 +0200
26,26,Korba Fine Dining,restaurant,fine_dining,15,12,6,160,32000.00,30000.00,6800.00,2016-12-21,2026-01-19 16:03:50.006 +0200
27,27,Baghdad Street Pharmacy,pharmacy,medicines,11,12,7,65,20000.00,14000.00,3600.00,2018-04-09,2026-01-19 16:03:50.006 +0200
28,28,El Merghany Fashion House,retail,clothing,9,11,6,90,24000.00,17000.00,3900.00,2019-07-25,2026-01-19 16:03:50.006 +0200
29,29,Roxy Dessert Cafe,cafe,desserts,6,12,7,75,23000.00,16000.00,4100.00,2021-11-04,2026-01-19 16:03:50.006 +0200
30,30,Almaza Organic Market,grocery,organic_food,4,10,6,85,21000.00,15000.00,3400.00,2022-02-16,2026-01-19 16:03:50.006 +0200
31,32,Ain Shams Book Center,retail,books,13,9,6,70,16000.00,9000.00,2300.00,2017-01-08,2026-01-19 16:03:50.006 +0200
32,33,Ain Shams Student Cafe,cafe,coffee_snacks,5,14,7,60,18000.00,12000.00,3100.00,2021-10-12,2026-01-19 16:03:50.006 +0200
33,34,Ain Shams Copy & Print,service,printing,17,10,6,55,15000.00,10000.00,2600.00,2015-09-03,2026-01-19 16:03:50.006 +0200
34,31,El Matareya Grocery,grocery,food_items,20,14,7,130,19000.00,24000.00,4800.00,2014-04-26,2026-01-19 16:03:50.006 +0200
35,35,El Zeraeiin Hardware,retail,hardware_tools,22,11,6,95,17000.00,16000.00,3500.00,2013-08-17,2026-01-19 16:03:50.006 +0200
36,51,Helwan Corniche Cafe,cafe,coffee_beverages,9,12,7,80,16000.00,14000.00,3300.00,2019-05-14,2026-01-19 16:03:50.006 +0200
37,52,Helwan University Snacks,restaurant,fast_food,6,14,7,65,15000.00,13000.00,3000.00,2020-09-09,2026-01-19 16:03:50.006 +0200
38,53,"15th of May Mini Market",grocery,food_items,12,13,7,110,17000.00,19000.00,4100.00,2018-02-22,2026-01-19 16:03:50.006 +0200
39,54,Masaken El Shabab Pharmacy,pharmacy,medicines,10,12,7,60,14000.00,12000.00,2800.00,2017-06-06,2026-01-19 16:03:50.006 +0200
40,55,Helwan Fish Grill,restaurant,seafood,16,14,7,125,19000.00,23000.00,5200.00,2016-10-01,2026-01-19 16:03:50.006 +0200
41,56,Agouza Nile View Cafe,cafe,coffee_beverages,7,12,7,70,20000.00,15000.00,3600.00,2020-04-19,2026-01-19 16:03:50.006 +0200
42,57,Mit Akaba Market Store,retail,household_goods,14,11,6,85,17000.00,13000.00,3000.00,2017-08-28,2026-01-19 16:03:50.006 +0200
43,58,El Mohandiseen Repair Hub,service,electronics_repair,19,10,6,60,16000.00,14000.00,3100.00,2014-12-13,2026-01-19 16:03:50.006 +0200
44,59,Ard El Lewa Grocery,grocery,food_items,21,14,7,140,18000.00,26000.00,5200.00,2013-03-21,2026-01-19 16:03:50.006 +0200
45,60,Corniche View Restaurant,restaurant,international_food,12,13,7,145,25000.00,27000.00,5900.00,2018-11-30,2026-01-19 16:03:50.006 +0200
46,61,Kit Kat Square Koshary,restaurant,egyptian_food,18,14,7,90,17000.00,20000.00,4200.00,2015-02-07,2026-01-19 16:03:50.006 +0200
47,62,Ard El Lewa Mobile Repair,service,mobile_repair,11,10,6,50,14000.00,10000.00,2500.00,2019-06-18,2026-01-19 16:03:50.006 +0200
48,63,El Batal Hardware Store,retail,hardware_tools,23,11,6,100,16000.00,18000.00,3600.00,2012-10-29,2026-01-19 16:03:50.006 +0200
49,64,Geziret Badran Supermarket,grocery,food_items,16,14,7,150,19000.00,28000.00,5400.00,2016-01-16,2026-01-19 16:03:50.006 +0200
50,65,Imbaba Market Grill,restaurant,grilled_food,20,15,7,130,18000.00,25000.00,5600.00,2014-07-03,2026-01-19 16:03:50.006 +0200
51,66,El Khalifa Cafe,cafe,coffee_beverages,8,12,7,65,15000.00,12000.00,2900.00,2019-09-14,2026-01-19 16:03:50.006 +0200
52,67,Sayeda Zeinab Pharmacy,pharmacy,medicines,13,12,7,60,14000.00,13000.00,3000.00,2017-12-01,2026-01-19 16:03:50.006 +0200
53,68,Port Said Street Electronics,retail,electronics,9,11,6,70,16000.00,12000.00,2800.00,2020-06-20,2026-01-19 16:03:50.006 +0200
54,69,Sayeda Zeinab Market Grocery,grocery,food_items,22,14,7,160,18000.00,30000.00,5800.00,2013-05-09,2026-01-19 16:03:50.006 +0200
55,70,Corniche Axis Juice Bar,cafe,fresh_juice,6,11,7,55,14000.00,9000.00,2400.00,2021-08-27,2026-01-19 16:03:50.006 +0200
56,71,Bulaq Corniche Cafe,cafe,coffee_beverages,10,12,7,75,17000.00,14000.00,3300.00,2018-04-05,2026-01-19 16:03:50.006 +0200
57,72,Maspero Mini Market,grocery,food_items,17,14,7,135,20000.00,27000.00,5600.00,2016-09-11,2026-01-19 16:03:50.006 +0200
58,73,Abou El Ela Restaurant,restaurant,egyptian_food,19,14,7,140,21000.00,26000.00,5900.00,2015-01-24,2026-01-19 16:03:50.006 +0200
59,74,Bulaq Repair Services,service,home_appliance_repair,15,10,6,65,15000.00,12000.00,2800.00,2017-07-07,2026-01-19 16:03:50.006 +0200
60,75,Railway Axis Snacks,restaurant,snacks,7,12,7,55,16000.00,13000.00,3100.00,2020-12-19,2026-01-19 16:03:50.006 +0200
61,77,Fustat Heritage Crafts,retail,handicrafts,18,10,6,90,17000.00,15000.00,3300.00,2016-03-14,2026-01-19 16:03:50.006 +0200
62,78,Ain El Sira Grocery,grocery,food_items,21,14,7,150,18000.00,28000.00,5400.00,2013-10-02,2026-01-19 16:03:50.006 +0200
63,79,Magra El Oyoun Butchery,retail,meat_products,24,12,7,80,16000.00,17000.00,3600.00,2012-06-26,2026-01-19 16:03:50.006 +0200
64,80,Old Cairo Coffee House,cafe,coffee_beverages,11,12,7,70,15000.00,12000.00,3000.00,2018-02-17,2026-01-19 16:03:50.006 +0200
65,76,Old Cairo Market Spices,retail,spices,27,11,6,65,14000.00,15000.00,2800.00,2011-04-04,2026-01-19 16:03:50.006 +0200
66,91,Warraq Island Grocery,grocery,food_items,19,14,7,160,17000.00,29000.00,5500.00,2015-08-23,2026-01-19 16:03:50.006 +0200
67,92,Warraq Market Grill,restaurant,grilled_food,21,15,7,140,18000.00,26000.00,5700.00,2014-11-08,2026-01-19 16:03:50.006 +0200
68,93,Warraq Electronics Repair,service,electronics_repair,16,10,6,60,15000.00,13000.00,2900.00,2016-05-30,2026-01-19 16:03:50.006 +0200
69,94,Warraq Ferry Snacks,restaurant,snacks,8,12,7,50,14000.00,11000.00,2600.00,2021-07-12,2026-01-19 16:03:50.006 +0200
70,95,Warraq Corniche Cafe,cafe,coffee_beverages,9,12,7,75,16000.00,14000.00,3300.00,2019-01-06,2026-01-19 16:03:50.006 +0200
71,96,Bab El Shaaria Electronics,retail,electronics,14,11,6,85,17000.00,14000.00,3200.00,2017-04-15,2026-01-19 16:03:50.006 +0200
72,97,Bab El Shaaria Market Grocery,grocery,food_items,23,14,7,170,19000.00,32000.00,6000.00,2012-09-09,2026-01-19 16:03:50.006 +0200
73,98,Port Said Axis Pharmacy,pharmacy,medicines,12,12,7,65,15000.00,13000.00,3000.00,2018-12-20,2026-01-19 16:03:50.006 +0200
74,99,Sabtiya Auto Parts,retail,auto_parts,26,11,6,110,16000.00,18000.00,3500.00,2011-05-28,2026-01-19 16:03:50.006 +0200
75,100,Railway Zone Snacks,restaurant,snacks,6,12,7,55,15000.00,12000.00,2800.00,2022-03-02,2026-01-19 16:03:50.006 +0200
76,101,El Salam Corner Grocery,grocery,food_items,20,14,7,160,17000.00,30000.00,5800.00,2014-08-16,2026-01-19 16:03:50.006 +0200
77,102,El Salam Market Grill,restaurant,grilled_food,22,15,7,150,18000.00,27000.00,6000.00,2013-02-11,2026-01-19 16:03:50.006 +0200
78,103,El Salam Industrial Supplies,retail,industrial_tools,18,11,6,120,16000.00,20000.00,3800.00,2016-06-05,2026-01-19 16:03:50.006 +0200
79,104,El Salam Transport Snacks,restaurant,snacks,7,12,7,50,14000.00,11000.00,2600.00,2021-10-21,2026-01-19 16:03:50.006 +0200
80,105,Ring Road Coffee Stop,cafe,coffee_beverages,5,12,7,60,15000.00,12000.00,2900.00,2022-07-18,2026-01-19 16:03:50.006 +0200
81,306,Mashtoul Main Grocery,grocery,food_items,18,14,7,155,18000.00,28000.00,5500.00,2015-03-19,2026-01-19 16:03:50.006 +0200
82,307,Mashtoul Market Butchery,retail,meat_products,24,12,7,90,16000.00,17000.00,3600.00,2012-11-07,2026-01-19 16:03:50.006 +0200
83,308,Mashtoul Repair Services,service,general_repair,16,10,6,65,15000.00,13000.00,2800.00,2016-04-25,2026-01-19 16:03:50.006 +0200
84,309,Mashtoul Transport Snacks,restaurant,snacks,7,12,7,55,14000.00,11000.00,2600.00,2021-06-30,2026-01-19 16:03:50.006 +0200
85,310,Mashtoul Coffee Corner,cafe,coffee_beverages,9,12,7,70,15000.00,13000.00,3000.00,2019-10-08,2026-01-19 16:03:50.006 +0200
86,311,Zagazig Road Mini Market,grocery,food_items,21,14,7,165,19000.00,31000.00,5900.00,2013-01-22,2026-01-19 16:03:50.006 +0200
87,312,Zagazig Road Grill,restaurant,grilled_food,23,15,7,145,18000.00,26000.00,5800.00,2012-05-17,2026-01-19 16:03:50.006 +0200
88,313,Zagazig Road Electronics,retail,electronics,13,11,6,80,17000.00,14000.00,3200.00,2017-07-29,2026-01-19 16:03:50.006 +0200
89,314,Zagazig Road Repair Hub,service,electronics_repair,17,10,6,60,15000.00,13000.00,2800.00,2015-09-13,2026-01-19 16:03:50.006 +0200
90,315,Zagazig Road Coffee Stop,cafe,coffee_beverages,8,12,7,70,15000.00,12000.00,2900.00,2020-11-05,2026-01-19 16:03:50.006 +0200
91,281,Qaha Station Grocery,grocery,food_items,19,14,7,160,18000.00,29000.00,5600.00,2014-02-27,2026-01-19 16:03:50.006 +0200
92,282,Qaha Market Grill,restaurant,grilled_food,22,15,7,150,18000.00,27000.00,6000.00,2013-06-18,2026-01-19 16:03:50.006 +0200
93,283,Qaha Electronics Repair,service,electronics_repair,15,10,6,60,15000.00,13000.00,2800.00,2016-08-09,2026-01-19 16:03:50.006 +0200
94,284,Qaha Coffee Corner,cafe,coffee_beverages,7,12,7,65,14000.00,12000.00,2800.00,2021-01-14,2026-01-19 16:03:50.006 +0200
95,285,Qaha Pharmacy,pharmacy,medicines,11,12,7,60,15000.00,13000.00,3000.00,2018-03-03,2026-01-19 16:03:50.006 +0200
96,286,Tukh Central Grocery,grocery,food_items,20,14,7,170,19000.00,32000.00,6100.00,2013-12-06,2026-01-19 16:03:50.006 +0200
97,287,Tukh Market Fish,retail,seafood,25,13,7,95,17000.00,18000.00,3700.00,2011-07-21,2026-01-19 16:03:50.006 +0200
98,288,Tukh Electronics,retail,electronics,14,11,6,85,16000.00,14000.00,3200.00,2017-10-02,2026-01-19 16:03:50.006 +0200
99,289,Tukh Repair Services,service,general_repair,18,10,6,65,15000.00,13000.00,2800.00,2015-04-11,2026-01-19 16:03:50.006 +0200
100,290,Tukh Coffee House,cafe,coffee_beverages,9,12,7,70,15000.00,12000.00,2900.00,2019-06-24,2026-01-19 16:03:50.006 +0200
101,36,Zamalek Artisan Bakery,bakery,bread_pastries,14,12,6,70,24000.00,17000.00,3800.00,2017-02-12,2026-01-19 16:03:50.006 +0200
102,37,Brazil Street Cafe,cafe,coffee_beverages,6,12,7,60,23000.00,15000.00,3500.00,2021-06-19,2026-01-19 16:03:50.006 +0200
103,38,Ismail Mohamed Boutique,retail,clothing,11,10,6,85,26000.00,16000.00,3400.00,2018-09-03,2026-01-19 16:03:50.006 +0200
104,39,Gezira Club Snacks,restaurant,snacks,5,12,7,50,20000.00,12000.00,3000.00,2022-04-27,2026-01-19 16:03:50.006 +0200
105,40,Abou El Feda Pharmacy,pharmacy,medicines,13,12,7,65,22000.00,14000.00,3600.00,2016-11-15,2026-01-19 16:03:50.006 +0200
106,41,Garden City Gourmet,restaurant,international_food,16,12,6,140,30000.00,29000.00,6200.00,2016-01-18,2026-01-19 16:03:50.006 +0200
107,42,Simon Bolivar Mini Market,grocery,food_items,19,14,7,150,21000.00,30000.00,5600.00,2014-07-22,2026-01-19 16:03:50.006 +0200
108,43,Corniche Nile View Cafe,cafe,coffee_beverages,8,12,7,80,26000.00,17000.00,4100.00,2019-10-05,2026-01-19 16:03:50.006 +0200
109,44,Embassy Area Flowers,retail,flowers,12,10,6,55,24000.00,11000.00,2700.00,2017-05-09,2026-01-19 16:03:50.006 +0200
110,45,Falaky Square Juice Bar,cafe,fresh_juice,6,11,7,50,22000.00,10000.00,2600.00,2020-08-16,2026-01-19 16:03:50.006 +0200
111,46,Ahmed El Zomor Grill,restaurant,grilled_food,15,14,7,145,25000.00,27000.00,5800.00,2016-04-02,2026-01-19 16:03:50.006 +0200
112,47,Zahraa Nasr Grocery,grocery,food_items,18,14,7,165,19000.00,30000.00,5600.00,2015-01-14,2026-01-19 16:03:50.006 +0200
113,48,Waha Mobile Center,retail,mobile_accessories,7,11,7,60,17000.00,12000.00,2800.00,2021-03-21,2026-01-19 16:03:50.006 +0200
114,49,El Hay El Asher Cafe,cafe,coffee_beverages,5,12,7,65,18000.00,14000.00,3200.00,2022-07-11,2026-01-19 16:03:50.006 +0200
115,50,El Hay El Sabea Pharmacy,pharmacy,medicines,10,12,7,60,16000.00,13000.00,3000.00,2018-12-29,2026-01-19 16:03:50.006 +0200
116,51,Helwan Corniche Seafood,restaurant,seafood,17,14,7,150,21000.00,26000.00,6000.00,2015-06-07,2026-01-19 16:03:50.006 +0200
117,52,Helwan University Print Shop,service,printing,21,10,6,55,15000.00,11000.00,2600.00,2013-09-18,2026-01-19 16:03:50.006 +0200
118,53,"15th of May Grocery",grocery,food_items,16,14,7,145,18000.00,28000.00,5400.00,2016-02-03,2026-01-19 16:03:50.006 +0200
119,54,Masaken El Shabab Cafe,cafe,coffee_beverages,7,12,7,70,16000.00,13000.00,3000.00,2020-11-20,2026-01-19 16:03:50.006 +0200
120,55,Helwan Fish Market Grill,restaurant,grilled_food,22,15,7,160,19000.00,29000.00,6200.00,2013-08-26,2026-01-19 16:03:50.006 +0200
121,56,Agouza Nile Grocery,grocery,food_items,20,14,7,155,19000.00,30000.00,5700.00,2014-03-12,2026-01-19 16:03:50.006 +0200
122,57,Mit Akaba Hardware,retail,hardware_tools,24,11,6,110,16000.00,19000.00,3600.00,2012-05-19,2026-01-19 16:03:50.006 +0200
123,58,El Mohandiseen Cafe,cafe,coffee_beverages,9,12,7,75,19000.00,15000.00,3500.00,2019-09-08,2026-01-19 16:03:50.006 +0200
124,59,Ard El Lewa Market Grocery,grocery,food_items,23,14,7,170,18000.00,32000.00,6100.00,2013-04-23,2026-01-19 16:03:50.006 +0200
125,60,Corniche View Pastry,bakery,desserts,14,11,6,65,20000.00,14000.00,3300.00,2017-11-30,2026-01-19 16:03:50.006 +0200
126,61,Kit Kat Electronics,retail,electronics,13,11,6,90,17000.00,15000.00,3200.00,2018-06-02,2026-01-19 16:03:50.006 +0200
127,62,Ard El Lewa Phone Repair,service,mobile_repair,15,10,6,55,14000.00,12000.00,2700.00,2016-10-15,2026-01-19 16:03:50.006 +0200
128,63,Geziret Badran Grocery,grocery,food_items,21,14,7,160,19000.00,30000.00,5600.00,2014-12-07,2026-01-19 16:03:50.006 +0200
129,64,Imbaba Street Grill,restaurant,grilled_food,19,15,7,145,18000.00,27000.00,6000.00,2015-07-09,2026-01-19 16:03:50.006 +0200
130,65,Imbaba Juice Stop,cafe,fresh_juice,6,11,7,55,15000.00,10000.00,2400.00,2021-05-28,2026-01-19 16:03:50.006 +0200
131,66,El Khalifa Coffee House,cafe,coffee_beverages,8,12,7,70,15000.00,12000.00,2900.00,2019-08-17,2026-01-19 16:03:50.006 +0200
132,67,Sayeda Zeinab Grocery,grocery,food_items,22,14,7,165,18000.00,31000.00,6000.00,2013-02-04,2026-01-19 16:03:50.006 +0200
133,68,Port Said Street Phones,retail,mobile_phones,11,11,6,75,16000.00,13000.00,3000.00,2018-09-12,2026-01-19 16:03:50.006 +0200
134,69,Sayeda Zeinab Sweets,bakery,traditional_sweets,18,12,6,60,15000.00,16000.00,3300.00,2015-01-27,2026-01-19 16:03:50.006 +0200
135,70,Corniche Axis Snacks,restaurant,snacks,7,12,7,55,16000.00,12000.00,2800.00,2020-10-01,2026-01-19 16:03:50.006 +0200
136,71,Bulaq River Cafe,cafe,coffee_beverages,10,12,7,75,17000.00,14000.00,3300.00,2018-03-14,2026-01-19 16:03:50.006 +0200
137,72,Maspero Daily Grocery,grocery,food_items,19,14,7,160,20000.00,30000.00,5800.00,2014-09-06,2026-01-19 16:03:50.006 +0200
138,73,Abou El Ela Koshary,restaurant,egyptian_food,21,15,7,140,19000.00,26000.00,5900.00,2013-11-18,2026-01-19 16:03:50.006 +0200
139,74,Bulaq Electronics Fix,service,electronics_repair,16,10,6,60,15000.00,13000.00,2800.00,2016-06-21,2026-01-19 16:03:50.006 +0200
140,75,Railway Axis Coffee Stop,cafe,coffee_beverages,6,12,7,65,16000.00,12000.00,2900.00,2021-12-03,2026-01-19 16:03:50.006 +0200
141,77,Fustat Craft Souvenirs,retail,handicrafts,20,10,6,95,17000.00,16000.00,3400.00,2014-05-29,2026-01-19 16:03:50.006 +0200
142,78,Ain El Sira Grocery,grocery,food_items,23,14,7,170,18000.00,32000.00,6100.00,2012-08-11,2026-01-19 16:03:50.006 +0200
143,79,Magra El Oyoun Butchery,retail,meat_products,26,12,7,85,16000.00,18000.00,3600.00,2011-10-02,2026-01-19 16:03:50.006 +0200
144,80,Old Cairo Tea House,cafe,tea_drinks,12,12,7,70,15000.00,13000.00,3000.00,2018-01-20,2026-01-19 16:03:50.006 +0200
145,76,Old Cairo Spice Market,retail,spices,28,11,6,70,14000.00,16000.00,2800.00,2010-06-17,2026-01-19 16:03:50.006 +0200
146,91,Warraq Island Supermarket,grocery,food_items,20,14,7,165,18000.00,30000.00,5800.00,2014-02-09,2026-01-19 16:03:50.006 +0200
147,92,Warraq Grill House,restaurant,grilled_food,22,15,7,150,18000.00,27000.00,6000.00,2013-07-28,2026-01-19 16:03:50.006 +0200
148,93,Warraq Phone Repair,service,mobile_repair,14,10,6,55,14000.00,12000.00,2600.00,2017-04-16,2026-01-19 16:03:50.006 +0200
149,94,Warraq Ferry Snacks,restaurant,snacks,7,12,7,50,14000.00,11000.00,2500.00,2021-09-05,2026-01-19 16:03:50.006 +0200
150,95,Warraq Corniche Cafe,cafe,coffee_beverages,9,12,7,75,16000.00,14000.00,3300.00,2019-12-12,2026-01-19 16:03:50.006 +0200
151,96,Bab El Shaaria Electronics,retail,electronics,15,11,6,90,17000.00,15000.00,3200.00,2017-02-18,2026-01-19 16:03:50.006 +0200
152,97,Bab El Shaaria Market Grocery,grocery,food_items,24,14,7,175,19000.00,33000.00,6200.00,2012-03-07,2026-01-19 16:03:50.006 +0200
153,98,Port Said Axis Pharmacy,pharmacy,medicines,13,12,7,65,15000.00,13000.00,3000.00,2018-10-26,2026-01-19 16:03:50.006 +0200
154,99,Sabtiya Auto Parts,retail,auto_parts,27,11,6,120,16000.00,19000.00,3600.00,2011-04-03,2026-01-19 16:03:50.006 +0200
155,100,Railway Zone Snack Bar,restaurant,snacks,6,12,7,55,15000.00,12000.00,2700.00,2022-01-15,2026-01-19 16:03:50.006 +0200
156,101,El Salam Main Grocery,grocery,food_items,21,14,7,165,18000.00,31000.00,5900.00,2013-09-21,2026-01-19 16:03:50.006 +0200
157,102,El Salam Grill Corner,restaurant,grilled_food,23,15,7,150,18000.00,27000.00,6000.00,2012-12-11,2026-01-19 16:03:50.006 +0200
158,103,El Salam Industrial Tools,retail,industrial_tools,19,11,6,130,16000.00,21000.00,3900.00,2016-07-08,2026-01-19 16:03:50.006 +0200
159,104,El Salam Transport Snacks,restaurant,snacks,7,12,7,50,14000.00,11000.00,2500.00,2021-11-23,2026-01-19 16:03:50.006 +0200
160,105,Ring Road Coffee Point,cafe,coffee_beverages,5,12,7,60,15000.00,12000.00,2900.00,2022-05-30,2026-01-19 16:03:50.006 +0200
161,306,Mashtoul Central Grocery,grocery,food_items,19,14,7,160,18000.00,30000.00,5800.00,2014-01-09,2026-01-19 16:03:50.006 +0200
162,307,Mashtoul Market Fish,retail,seafood,25,13,7,95,17000.00,18000.00,3700.00,2011-06-28,2026-01-19 16:03:50.006 +0200
163,308,Mashtoul Repair Services,service,general_repair,17,10,6,65,15000.00,13000.00,2800.00,2016-05-14,2026-01-19 16:03:50.006 +0200
164,309,Mashtoul Snack Point,restaurant,snacks,7,12,7,55,14000.00,11000.00,2600.00,2021-04-18,2026-01-19 16:03:50.006 +0200
165,310,Mashtoul Coffee Stop,cafe,coffee_beverages,9,12,7,70,15000.00,13000.00,3000.00,2019-09-02,2026-01-19 16:03:50.006 +0200
166,311,Zagazig Road Grocery,grocery,food_items,22,14,7,170,19000.00,33000.00,6200.00,2012-02-13,2026-01-19 16:03:50.006 +0200
167,312,Zagazig Road Grill House,restaurant,grilled_food,24,15,7,145,18000.00,27000.00,6000.00,2011-10-07,2026-01-19 16:03:50.006 +0200
168,313,Zagazig Road Electronics,retail,electronics,14,11,6,85,16000.00,14000.00,3200.00,2017-08-16,2026-01-19 16:03:50.006 +0200
169,314,Zagazig Road Repair Hub,service,electronics_repair,18,10,6,60,15000.00,13000.00,2800.00,2015-12-05,2026-01-19 16:03:50.006 +0200
170,315,Zagazig Road Coffee Corner,cafe,coffee_beverages,8,12,7,70,15000.00,12000.00,2900.00,2020-10-14,2026-01-19 16:03:50.006 +0200
171,281,Qaha Station Grocery,grocery,food_items,20,14,7,165,18000.00,30000.00,5800.00,2013-03-22,2026-01-19 16:03:50.006 +0200
172,282,Qaha Market Grill,restaurant,grilled_food,23,15,7,150,18000.00,27000.00,6000.00,2012-05-11,2026-01-19 16:03:50.006 +0200
173,283,Qaha Electronics Repair,service,electronics_repair,16,10,6,60,15000.00,13000.00,2800.00,2016-09-01,2026-01-19 16:03:50.006 +0200
174,284,Qaha Coffee Spot,cafe,coffee_beverages,7,12,7,65,14000.00,12000.00,2800.00,2021-02-19,2026-01-19 16:03:50.006 +0200
175,285,Qaha Community Pharmacy,pharmacy,medicines,12,12,7,60,15000.00,13000.00,3000.00,2018-04-07,2026-01-19 16:03:50.006 +0200
176,286,Tukh Central Grocery,grocery,food_items,21,14,7,170,19000.00,33000.00,6200.00,2012-01-05,2026-01-19 16:03:50.006 +0200
177,287,Tukh Market Seafood,retail,seafood,26,13,7,100,17000.00,19000.00,3800.00,2010-08-12,2026-01-19 16:03:50.006 +0200
178,288,Tukh Electronics Store,retail,electronics,15,11,6,90,16000.00,15000.00,3300.00,2017-11-21,2026-01-19 16:03:50.006 +0200
179,289,Tukh Repair Center,service,general_repair,19,10,6,70,15000.00,14000.00,2900.00,2015-05-03,2026-01-19 16:03:50.006 +0200
180,290,Tukh Coffee House,cafe,coffee_beverages,9,12,7,75,15000.00,13000.00,3000.00,2019-07-14,2026-01-19 16:03:50.006 +0200
181,291,Shebin El Qanater Grocery,grocery,food_items,22,14,7,175,19000.00,34000.00,6400.00,2012-03-18,2026-01-19 16:03:50.006 +0200
182,292,Shebin El Qanater Grill,restaurant,grilled_food,24,15,7,155,18000.00,28000.00,6100.00,2011-12-09,2026-01-19 16:03:50.006 +0200
183,293,Shebin El Qanater Hardware,retail,hardware_tools,28,11,6,120,16000.00,20000.00,3800.00,2010-06-26,2026-01-19 16:03:50.006 +0200
184,294,Shebin El Qanater Phone Repair,service,mobile_repair,17,10,6,65,15000.00,14000.00,2900.00,2016-02-01,2026-01-19 16:03:50.006 +0200
