"location_id","date","hour","hourly_footfall","hourly_avg_dwell","peak_hour_flag"
9,2024-09-06,23,129,14.80,true
9,2024-09-06,11,99,10.10,false
9,2024-09-07,20,88,8.10,true
9,2024-09-07,15,61,10.60,false
10,2024-09-04,14,694,12.28,true
10,2024-09-04,11,235,7.60,false
10,2024-09-04,12,186,4.50,false
10,2024-09-04,8,170,10.00,false
10,2024-09-04,9,108,11.00,false
11,2024-09-04,22,280,15.40,true
11,2024-09-04,20,191,8.95,false
11,2024-09-04,18,164,4.85,false
11,2024-09-04,14,131,9.60,false
11,2024-09-04,17,97,9.75,false
11,2024-09-04,19,78,4.60,false
11,2024-09-05,0,34,4.90,true
11,2024-09-06,23,131,15.00,true
11,2024-09-06,10,102,10.40,false
11,2024-09-07,21,90,8.40,true
11,2024-09-07,14,64,10.90,false
12,2024-09-05,9,494,10.53,true
12,2024-09-05,12,270,8.77,false
12,2024-09-05,13,207,5.20,false
12,2024-09-05,16,118,14.30,false
12,2024-09-05,6,45,5.70,false
12,2024-09-05,7,27,6.00,false
13,2024-09-05,14,415,10.20,true
13,2024-09-05,16,372,14.90,false
13,2024-09-05,22,294,16.05,false
13,2024-09-05,19,247,4.95,false
13,2024-09-05,20,203,9.40,false
13,2024-09-05,17,95,9.55,false
13,2024-09-06,0,15,4.70,true
14,2024-09-07,23,134,15.40,true
14,2024-09-07,10,106,10.90,false
14,2024-09-07,21,93,8.70,false
14,2024-09-07,15,67,11.20,false
14,2024-09-08,9,387,9.78,true
14,2024-09-08,10,174,10.40,false
14,2024-09-08,8,161,6.70,false
14,2024-09-08,11,71,7.10,false
15,2024-09-08,12,367,12.70,true
15,2024-09-08,13,241,8.95,false
15,2024-09-08,19,178,8.30,false
15,2024-09-08,11,156,7.70,false
15,2024-09-08,7,143,4.10,false
15,2024-09-08,14,127,9.40,false
15,2024-09-08,16,95,9.45,false
16,2024-09-08,22,260,14.80,true
16,2024-09-08,18,152,4.77,false
16,2024-09-08,19,95,8.80,false
16,2024-09-09,7,99,6.20,true
16,2024-09-09,9,95,9.80,false
16,2024-09-09,0,41,5.15,false
16,2024-09-10,10,99,10.00,true
16,2024-09-11,15,63,10.70,true
16,2024-09-13,20,92,8.60,true
16,2024-09-14,23,135,15.30,true
17,2024-09-09,13,408,13.50,true
17,2024-09-09,10,284,10.53,false
17,2024-09-09,11,151,7.40,false
17,2024-09-09,8,148,4.30,false
17,2024-09-09,14,126,9.30,false
17,2024-09-09,9,100,10.20,false
17,2024-09-09,12,82,8.00,false
18,2024-09-09,14,266,9.75,true
18,2024-09-09,22,264,15.05,false
18,2024-09-09,18,234,4.85,false
18,2024-09-09,19,183,8.60,false
18,2024-09-09,17,99,9.65,false
18,2024-09-10,0,38,5.00,true
18,2024-09-11,10,102,10.40,true
18,2024-09-12,15,65,11.00,true
18,2024-09-13,21,94,8.90,true
19,2024-09-10,13,408,8.08,true
19,2024-09-10,10,324,11.00,false
19,2024-09-10,15,264,8.43,false
19,2024-09-10,8,135,6.93,false
19,2024-09-14,23,137,15.50,true
20,2024-09-10,17,591,12.95,true
20,2024-09-10,14,408,10.10,false
20,2024-09-10,22,282,15.75,false
20,2024-09-10,19,252,6.13,false
20,2024-09-10,20,101,9.30,false
20,2024-09-10,18,82,5.10,false
21,2024-09-11,9,303,10.40,true
21,2024-09-11,8,171,10.30,false
21,2024-09-11,10,155,7.60,false
21,2024-09-11,6,63,5.43,false
21,2024-09-11,0,18,4.90,false
21,2024-09-12,10,109,11.20,true
21,2024-09-13,16,68,11.30,true
21,2024-09-14,23,141,15.80,true
21,2024-09-14,21,98,9.10,false
22,2024-09-11,14,879,12.61,true
22,2024-09-11,20,198,9.20,false
22,2024-09-11,12,190,4.80,false
22,2024-09-11,17,97,9.65,false
22,2024-09-11,11,84,8.20,false
22,2024-09-11,19,83,5.20,false
23,2024-09-11,22,288,15.85,true
23,2024-09-11,19,79,4.85,false
23,2024-09-12,9,368,10.53,true
23,2024-09-12,6,69,5.63,false
23,2024-09-12,0,16,4.80,false
23,2024-09-13,10,110,11.40,true
23,2024-09-14,21,99,9.30,true
23,2024-09-14,16,69,11.50,false
23,2024-09-15,0,143,16.10,true
24,2024-09-12,14,504,9.20,true
24,2024-09-12,16,498,14.83,false
24,2024-09-12,12,276,9.00,false
24,2024-09-12,13,139,5.15,false
24,2024-09-12,9,130,10.90,false
24,2024-09-12,17,51,9.90,false
25,2024-09-12,23,298,16.35,true
25,2024-09-12,19,245,5.07,false
25,2024-09-12,20,204,9.70,false
25,2024-09-12,17,48,9.60,false
25,2024-09-13,0,17,4.90,true
25,2024-09-14,11,111,11.60,true
25,2024-09-14,22,101,9.60,false
25,2024-09-14,16,70,11.60,false
25,2024-09-15,0,145,16.30,true
25,2024-09-15,8,135,7.50,false
26,2024-09-15,9,603,9.48,true
26,2024-09-15,8,228,7.52,false
26,2024-09-15,10,174,10.90,false
27,2024-09-15,13,733,8.18,true
27,2024-09-15,10,292,10.96,false
27,2024-09-15,19,150,12.25,false
28,2024-09-15,19,470,12.45,true
28,2024-09-16,9,390,9.70,true
28,2024-09-16,0,119,5.54,false
29,2024-09-16,9,1280,10.43,true
29,2024-09-16,10,55,7.90,false
30,2024-09-16,10,1057,8.96,true
31,2024-09-16,19,1058,13.02,true
31,2024-09-16,10,228,9.90,false
32,2024-09-16,19,602,13.40,true
32,2024-09-17,9,612,9.30,true
33,2024-09-17,10,728,11.60,true
33,2024-09-17,9,535,9.19,false
34,2024-09-17,10,688,11.10,true
34,2024-09-17,9,547,9.35,false
35,2024-09-17,9,682,8.80,true
35,2024-09-17,10,390,10.40,false
36,2024-09-17,10,258,11.20,true
36,2024-09-18,9,880,8.79,true
37,2024-09-18,9,1138,9.16,true
38,2024-09-18,9,1087,8.86,true
39,2024-09-18,9,1182,9.39,true
40,2024-09-18,9,1107,8.98,true
41,2024-09-18,9,1121,9.01,true
42,2024-09-18,9,525,9.50,true
42,2024-09-19,8,504,7.90,true
43,2024-09-19,8,886,7.87,true
44,2024-09-19,8,935,8.19,true
45,2024-09-19,8,970,8.48,true
46,2024-09-19,8,962,8.38,true
47,2024-09-19,8,971,8.43,true
48,2024-09-19,8,662,8.33,true
48,2024-09-20,9,310,8.40,true
49,2024-09-20,9,1051,8.77,true
50,2024-09-20,9,1045,8.73,true
51,2024-09-20,9,1121,9.27,true
52,2024-09-20,9,1095,9.04,true
53,2024-09-20,9,1063,8.84,true
54,2024-09-20,9,1065,9.30,true
54,2024-09-20,10,62,8.60,false
55,2024-09-20,10,1089,9.21,true
56,2024-09-20,10,1127,9.51,true
57,2024-09-20,10,1146,9.62,true
58,2024-09-20,10,1106,9.23,true
59,2024-09-20,11,756,9.46,true
59,2024-09-20,10,390,10.10,false
60,2024-09-20,11,1084,9.32,true
61,2024-09-20,11,1067,9.16,true
62,2024-09-20,11,1147,9.76,true
63,2024-09-20,11,1091,9.32,true
64,2024-09-20,11,1155,9.72,true
65,2024-09-20,11,630,9.50,true
65,2024-09-20,12,483,9.50,false
66,2024-09-20,12,1111,9.48,true
67,2024-09-20,12,1113,9.44,true
68,2024-09-20,12,1173,9.95,true
69,2024-09-20,12,1167,9.79,true
70,2024-09-20,12,1121,9.55,true
71,2024-09-20,12,962,10.00,true
71,2024-09-20,13,198,9.30,false
72,2024-09-20,13,1135,9.74,true
73,2024-09-20,13,1137,9.89,true
74,2024-09-20,13,1201,10.36,true
75,2024-09-20,13,1143,9.89,true
76,2024-09-20,13,1129,9.75,true
77,2024-09-20,13,1197,10.27,true
78,2024-09-20,13,80,10.70,true
78,2024-09-21,14,1105,10.17,true
79,2024-09-21,14,1245,10.77,true
80,2024-09-21,14,1190,10.50,true
81,2024-09-21,14,1226,10.69,true
82,2024-09-21,14,1204,10.46,true
83,2024-09-21,14,1250,10.89,true
84,2024-09-21,15,844,10.56,true
84,2024-09-21,14,400,10.90,false
85,2024-09-21,15,1212,10.55,true
86,2024-09-21,15,1195,10.48,true
87,2024-09-21,15,1275,11.13,true
88,2024-09-21,15,1219,10.68,true
89,2024-09-21,15,1282,11.26,true
90,2024-09-21,15,693,10.70,true
90,2024-09-21,16,518,10.50,false
91,2024-09-21,16,1191,10.56,true
92,2024-09-21,16,1193,10.68,true
93,2024-09-21,16,1253,11.36,true
94,2024-09-21,16,1247,11.08,true
95,2024-09-21,16,1201,10.81,true
96,2024-09-21,16,1017,11.14,true
96,2024-09-21,17,216,10.40,false
97,2024-09-21,17,1231,10.84,true
98,2024-09-21,17,1233,11.06,true
99,2024-09-21,17,1297,11.65,true
100,2024-09-21,17,1239,11.03,true
101,2024-09-21,17,1225,10.94,true
102,2024-09-21,17,1293,11.54,true
103,2024-09-21,18,1165,11.07,true
103,2024-09-21,17,86,11.80,false
104,2024-09-21,18,1309,11.86,true
105,2024-09-21,18,1254,11.44,true
106,2024-09-21,18,1290,11.65,true
107,2024-09-21,18,1268,11.50,true
108,2024-09-21,18,1314,11.93,true
109,2024-09-21,19,940,11.96,true
109,2024-09-21,18,420,11.80,false
110,2024-09-21,19,1336,11.95,true
111,2024-09-21,19,1325,11.90,true
112,2024-09-21,19,1399,12.44,true
113,2024-09-21,19,1345,12.08,true
114,2024-09-21,19,1419,12.53,true
115,2024-09-21,19,756,12.00,true
115,2024-09-21,20,609,12.50,false
116,2024-09-21,20,1375,12.43,true
117,2024-09-21,20,1397,12.62,true
118,2024-09-21,20,1464,13.17,true
119,2024-09-21,20,1429,12.95,true
120,2024-09-21,20,1407,12.73,true
121,2024-09-21,20,1159,12.86,true
121,2024-09-21,21,258,12.60,false
122,2024-09-21,21,1428,12.93,true
123,2024-09-21,21,1464,13.18,true
124,2024-09-21,21,1528,13.65,true
125,2024-09-21,21,1436,13.08,true
126,2024-09-21,21,1445,13.09,true
127,2024-09-21,21,1513,13.54,true
128,2024-09-21,22,1360,13.07,true
128,2024-09-21,21,98,13.80,false
129,2024-09-21,22,1536,13.66,true
130,2024-09-21,22,1474,13.30,true
131,2024-09-21,22,1490,13.45,true
132,2024-09-21,22,1483,13.36,true
133,2024-09-21,22,1537,13.83,true
134,2024-09-21,23,964,12.85,true
134,2024-09-21,22,480,13.70,false
135,2024-09-21,23,1400,12.88,true
136,2024-09-21,23,1392,12.81,true
137,2024-09-21,23,1479,13.38,true
138,2024-09-21,23,1420,13.00,true
139,2024-09-21,23,1493,13.53,true
140,2024-09-21,23,792,12.90,true
140,2024-09-22,0,518,11.20,true
141,2024-09-22,0,1174,11.11,true
142,2024-09-22,0,1182,11.16,true
143,2024-09-22,0,1251,11.92,true
144,2024-09-22,0,1235,11.64,true
145,2024-09-22,0,1183,11.36,true
146,2024-09-22,0,1007,11.74,true
146,2024-09-22,1,174,9.30,false
147,2024-09-22,1,1016,9.85,true
148,2024-09-22,1,1025,10.06,true
149,2024-09-22,1,1100,10.53,true
150,2024-09-22,1,1054,10.22,true
151,2024-09-22,1,1016,9.94,true
152,2024-09-22,1,1110,10.58,true
153,2024-09-22,2,895,9.37,true
153,2024-09-22,1,75,11.10,false
154,2024-09-22,2,1031,9.96,true
155,2024-09-22,2,980,9.69,true
156,2024-09-22,2,1017,9.97,true
157,2024-09-22,2,992,9.73,true
158,2024-09-22,2,1060,10.40,true
159,2024-09-22,3,636,9.17,true
159,2024-09-22,2,345,10.50,false
160,2024-09-22,3,931,9.29,true
161,2024-09-22,3,926,9.23,true
162,2024-09-22,3,1001,9.92,true
163,2024-09-22,3,961,9.56,true
164,2024-09-22,3,1007,9.99,true
165,2024-09-22,3,558,9.80,true
165,2024-09-22,4,378,8.80,false
166,2024-09-22,4,887,8.92,true
167,2024-09-22,4,896,8.92,true
168,2024-09-22,4,969,9.75,true
169,2024-09-22,4,953,9.47,true
170,2024-09-22,4,904,9.11,true
171,2024-09-22,4,793,9.67,true
171,2024-09-22,5,162,9.10,false
172,2024-09-22,5,952,9.54,true
173,2024-09-22,5,956,9.66,true
174,2024-09-22,5,1039,10.25,true
175,2024-09-22,5,965,9.81,true
176,2024-09-22,5,956,9.60,true
177,2024-09-22,5,1021,10.16,true
178,2024-09-22,6,960,10.23,true
178,2024-09-22,5,69,10.50,false
179,2024-09-22,6,1090,10.76,true
180,2024-09-22,6,1044,10.39,true
181,2024-09-22,6,1058,10.44,true
182,2024-09-22,6,1049,10.42,true
183,2024-09-22,6,1099,10.91,true
184,2024-09-22,7,876,12.35,true
184,2024-09-22,6,350,10.80,false
185,2024-09-22,7,1251,12.19,true
186,2024-09-22,7,1235,12.04,true
187,2024-09-22,7,1342,12.91,true
188,2024-09-22,7,1311,12.68,true
189,2024-09-22,7,1365,13.08,true
190,2024-09-22,7,720,12.30,true
190,2024-09-22,8,686,14.20,false
191,2024-09-22,8,1534,13.99,true
192,2024-09-22,8,1492,13.67,true
193,2024-09-22,8,1573,14.35,true
194,2024-09-22,8,1553,14.16,true
195,2024-09-22,8,1443,13.26,true
196,2024-09-22,8,1239,13.91,true
196,2024-09-22,9,330,15.50,false
197,2024-09-22,9,1794,15.66,true
198,2024-09-22,9,1716,15.19,true
199,2024-09-22,9,1879,16.22,true
200,2024-09-22,9,1772,15.63,true
201,2024-09-22,9,1737,15.36,true
202,2024-09-22,9,1784,15.71,true
203,2024-09-22,10,1705,16.90,true
203,2024-09-22,9,118,16.40,false
204,2024-09-22,10,1743,16.29,true
205,2024-09-22,10,1750,16.64,true
206,2024-09-22,10,1733,16.42,true
207,2024-09-22,10,1665,15.88,true
208,2024-09-22,10,1764,16.61,true
209,2024-09-22,11,1371,17.80,true
209,2024-09-22,10,520,15.80,false
210,2024-09-22,11,1797,16.98,true
211,2024-09-22,11,1793,16.85,true
212,2024-09-22,11,1922,17.86,true
213,2024-09-22,11,1827,17.14,true
214,2024-09-22,11,1917,17.76,true
215,2024-09-22,11,963,16.20,true
215,2024-09-22,12,910,19.20,false
216,2024-09-22,12,1941,18.16,true
217,2024-09-22,12,1843,17.43,true
218,2024-09-22,12,2066,19.23,true
219,2024-09-22,12,1986,18.54,true
220,2024-09-22,12,1892,17.76,true
221,2024-09-22,12,1522,17.59,true
221,2024-09-22,13,420,21.20,false
222,2024-09-22,13,2184,20.63,true
223,2024-09-22,13,2036,19.65,true
224,2024-09-22,13,2292,21.55,true
225,2024-09-22,13,2085,19.94,true
226,2024-09-22,13,2035,19.41,true
227,2024-09-22,13,2140,20.27,true
228,2024-09-22,14,2240,22.73,true
228,2024-09-22,13,128,19.30,false
229,2024-09-22,14,2248,21.47,true
230,2024-09-22,14,2314,22.08,true
231,2024-09-22,14,2282,21.77,true
232,2024-09-22,14,2222,21.06,true
233,2024-09-22,14,2384,22.84,true
234,2024-09-22,15,1628,22.35,true
234,2024-09-22,14,670,20.30,false
235,2024-09-22,15,2076,20.21,true
236,2024-09-22,15,2066,19.94,true
237,2024-09-22,15,2218,21.29,true
238,2024-09-22,15,2142,20.57,true
239,2024-09-22,15,2252,21.31,true
240,2024-09-22,15,1098,19.00,true
240,2024-09-22,16,1008,21.60,false
241,2024-09-22,16,2064,19.79,true
242,2024-09-22,16,1964,19.03,true
243,2024-09-22,16,2244,21.43,true
244,2024-09-22,16,2154,20.48,true
245,2024-09-22,16,2048,19.74,true
246,2024-09-22,16,1638,19.42,true
246,2024-09-22,17,402,20.60,false
247,2024-09-22,17,2052,19.74,true
248,2024-09-22,17,1946,18.96,true
249,2024-09-22,17,2176,21.01,true
250,2024-09-22,17,1996,19.38,true
251,2024-09-22,17,1942,18.96,true
252,2024-09-22,17,2044,19.67,true
253,2024-09-22,18,1890,19.50,true
253,2024-09-22,17,122,18.70,false
254,2024-09-22,18,1956,19.05,true
255,2024-09-22,18,1934,19.18,true
256,2024-09-22,18,1930,19.11,true
257,2024-09-22,18,1880,18.71,true
258,2024-09-22,18,2030,19.79,true
259,2024-09-22,19,1304,18.99,true
259,2024-09-22,18,560,17.80,false
260,2024-09-22,19,1846,18.52,true
261,2024-09-22,19,1764,17.79,true
262,2024-09-22,19,2042,23.48,true
262,2024-09-22,20,487,24.37,false
263,2024-09-22,19,1440,20.72,true
263,2024-09-22,20,684,21.46,false
264,2024-09-22,19,864,17.75,true
264,2024-09-22,20,850,17.73,false
265,2024-09-22,20,1488,23.06,true
265,2024-09-22,19,784,23.60,false
265,2024-09-22,21,147,23.00,false
266,2024-09-22,20,1124,20.16,true
266,2024-09-22,21,923,21.20,false
267,2024-09-22,20,953,17.66,true
267,2024-09-22,21,727,17.57,false
268,2024-09-22,21,1299,20.85,true
268,2024-09-22,20,859,22.38,false
269,2024-09-22,21,951,19.65,true
269,2024-09-22,22,945,19.61,false
270,2024-09-22,21,1112,17.24,true
270,2024-09-22,22,503,17.36,false
271,2024-09-22,22,1115,18.64,true
271,2024-09-22,21,772,20.57,false
272,2024-09-22,22,975,18.37,true
272,2024-09-22,23,732,18.09,false
273,2024-09-22,22,1151,17.68,true
273,2024-09-22,23,470,16.40,false
274,2024-09-22,23,852,16.68,true
274,2024-09-22,22,664,16.49,false
275,2024-09-22,23,840,14.65,true
275,2024-09-23,0,358,14.10,true
276,2024-09-22,23,594,13.70,true
276,2024-09-23,0,438,13.36,true
277,2024-09-22,23,697,14.64,true
277,2024-09-23,0,455,13.47,true
278,2024-09-22,23,850,14.72,true
278,2024-09-23,0,365,14.18,true
279,2024-09-22,23,539,13.84,true
279,2024-09-23,0,507,13.44,true
280,2024-09-22,23,824,14.43,true
280,2024-09-23,0,299,13.02,true
281,2024-09-23,1,748,12.75,true
281,2024-09-23,0,232,14.53,false
282,2024-09-23,1,834,12.21,true
283,2024-09-23,1,836,12.23,true
284,2024-09-23,1,429,12.36,true
284,2024-09-23,2,338,11.23,false
285,2024-09-23,2,533,11.10,true
285,2024-09-23,1,132,11.40,false
286,2024-09-23,2,457,10.81,true
286,2024-09-23,1,182,11.55,false
287,2024-09-23,2,314,11.49,true
287,2024-09-23,3,183,10.15,false
287,2024-09-23,4,84,9.90,false
288,2024-09-23,3,304,9.86,true
288,2024-09-23,4,132,9.74,false
289,2024-09-23,3,256,10.31,true
289,2024-09-23,4,216,9.80,false
290,2024-09-23,4,347,10.67,true
290,2024-09-23,3,172,10.64,false
290,2024-09-23,5,40,11.20,false
291,2024-09-23,4,300,10.53,true
291,2024-09-23,5,284,11.26,false
292,2024-09-23,4,333,10.90,true
292,2024-09-23,5,279,11.19,false
293,2024-09-23,4,243,11.25,true
293,2024-09-23,5,227,11.74,false
