"location_id","date","daily_footfall","daily_avg_dwell","daily_vehicle_count","hours_of_operation","missing_intervals","created_at"
23,2024-09-13,110,11.40,49,1,23,2026-01-19 16:04:12.741 +0200
23,2024-09-14,168,10.40,83,2,22,2026-01-19 16:04:12.741 +0200
23,2024-09-15,143,16.10,69,1,23,2026-01-19 16:04:12.741 +0200
24,2024-09-12,1598,9.83,863,6,80,2026-01-19 16:04:12.741 +0200
25,2024-09-12,795,10.18,419,4,64,2026-01-19 16:04:12.741 +0200
25,2024-09-13,17,4.90,8,1,23,2026-01-19 16:04:12.741 +0200
25,2024-09-14,282,10.93,135,3,21,2026-01-19 16:04:12.741 +0200
25,2024-09-15,280,11.90,143,2,68,2026-01-19 16:04:12.741 +0200
26,2024-09-15,1005,9.30,475,3,176,2026-01-19 16:04:12.741 +0200
27,2024-09-15,1175,10.46,517,3,200,2026-01-19 16:04:12.741 +0200
28,2024-09-15,470,12.45,188,1,138,2026-01-19 16:04:12.741 +0200
28,2024-09-16,509,7.62,238,2,110,2026-01-19 16:04:12.741 +0200
29,2024-09-16,1335,9.17,661,2,344,2026-01-19 16:04:12.741 +0200
30,2024-09-16,1057,8.96,497,1,368,2026-01-19 16:04:12.741 +0200
31,2024-09-16,1286,11.46,561,2,296,2026-01-19 16:04:12.741 +0200
32,2024-09-16,602,13.40,266,1,161,2026-01-19 16:04:12.741 +0200
32,2024-09-17,612,9.30,288,1,207,2026-01-19 16:04:12.741 +0200
33,2024-09-17,1263,10.39,602,2,176,2026-01-19 16:04:12.741 +0200
34,2024-09-17,1235,10.23,594,2,176,2026-01-19 16:04:12.741 +0200
35,2024-09-17,1072,9.60,520,2,248,2026-01-19 16:04:12.741 +0200
36,2024-09-17,258,11.20,126,1,69,2026-01-19 16:04:12.741 +0200
36,2024-09-18,880,8.79,393,1,299,2026-01-19 16:04:12.741 +0200
37,2024-09-18,1138,9.16,505,1,368,2026-01-19 16:04:12.741 +0200
38,2024-09-18,1087,8.86,482,1,368,2026-01-19 16:04:12.741 +0200
39,2024-09-18,1182,9.39,525,1,368,2026-01-19 16:04:12.741 +0200
40,2024-09-18,1107,8.98,494,1,368,2026-01-19 16:04:12.741 +0200
41,2024-09-18,1121,9.01,500,1,368,2026-01-19 16:04:12.741 +0200
42,2024-09-18,525,9.50,231,1,161,2026-01-19 16:04:12.741 +0200
42,2024-09-19,504,7.90,234,1,207,2026-01-19 16:04:12.741 +0200
43,2024-09-19,886,7.87,416,1,368,2026-01-19 16:04:12.741 +0200
44,2024-09-19,935,8.19,445,1,368,2026-01-19 16:04:12.741 +0200
45,2024-09-19,970,8.48,452,1,368,2026-01-19 16:04:12.741 +0200
46,2024-09-19,962,8.38,447,1,368,2026-01-19 16:04:12.741 +0200
47,2024-09-19,971,8.43,457,1,368,2026-01-19 16:04:12.741 +0200
48,2024-09-19,662,8.33,309,1,253,2026-01-19 16:04:12.741 +0200
48,2024-09-20,310,8.40,140,1,115,2026-01-19 16:04:12.741 +0200
49,2024-09-20,1051,8.77,477,1,368,2026-01-19 16:04:12.741 +0200
50,2024-09-20,1045,8.73,470,1,368,2026-01-19 16:04:12.741 +0200
51,2024-09-20,1121,9.27,506,1,368,2026-01-19 16:04:12.741 +0200
52,2024-09-20,1095,9.04,487,1,368,2026-01-19 16:04:12.741 +0200
53,2024-09-20,1063,8.84,470,1,368,2026-01-19 16:04:12.741 +0200
54,2024-09-20,1127,8.95,508,2,344,2026-01-19 16:04:12.741 +0200
55,2024-09-20,1089,9.21,493,1,368,2026-01-19 16:04:12.741 +0200
56,2024-09-20,1127,9.51,519,1,368,2026-01-19 16:04:12.741 +0200
57,2024-09-20,1146,9.62,525,1,368,2026-01-19 16:04:12.741 +0200
58,2024-09-20,1106,9.23,500,1,368,2026-01-19 16:04:12.741 +0200
59,2024-09-20,1146,9.78,530,2,248,2026-01-19 16:04:12.741 +0200
60,2024-09-20,1084,9.32,501,1,368,2026-01-19 16:04:12.741 +0200
61,2024-09-20,1067,9.16,495,1,368,2026-01-19 16:04:12.741 +0200
62,2024-09-20,1147,9.76,529,1,368,2026-01-19 16:04:12.741 +0200
63,2024-09-20,1091,9.32,505,1,368,2026-01-19 16:04:12.741 +0200
64,2024-09-20,1155,9.72,532,1,368,2026-01-19 16:04:12.741 +0200
65,2024-09-20,1113,9.50,512,2,200,2026-01-19 16:04:12.741 +0200
66,2024-09-20,1111,9.48,512,1,368,2026-01-19 16:04:12.741 +0200
67,2024-09-20,1113,9.44,520,1,368,2026-01-19 16:04:12.741 +0200
68,2024-09-20,1173,9.95,544,1,368,2026-01-19 16:04:12.741 +0200
69,2024-09-20,1167,9.79,541,1,368,2026-01-19 16:04:12.741 +0200
70,2024-09-20,1121,9.55,517,1,368,2026-01-19 16:04:12.741 +0200
71,2024-09-20,1160,9.65,532,2,296,2026-01-19 16:04:12.741 +0200
72,2024-09-20,1135,9.74,515,1,368,2026-01-19 16:04:12.741 +0200
73,2024-09-20,1137,9.89,525,1,368,2026-01-19 16:04:12.741 +0200
74,2024-09-20,1201,10.36,562,1,368,2026-01-19 16:04:12.741 +0200
75,2024-09-20,1143,9.89,519,1,368,2026-01-19 16:04:12.741 +0200
76,2024-09-20,1129,9.75,518,1,368,2026-01-19 16:04:12.741 +0200
77,2024-09-20,1197,10.27,554,1,368,2026-01-19 16:04:12.741 +0200
78,2024-09-20,80,10.70,37,1,23,2026-01-19 16:04:12.741 +0200
78,2024-09-21,1105,10.17,505,1,345,2026-01-19 16:04:12.741 +0200
79,2024-09-21,1245,10.77,577,1,368,2026-01-19 16:04:12.741 +0200
80,2024-09-21,1190,10.50,547,1,368,2026-01-19 16:04:12.741 +0200
81,2024-09-21,1226,10.69,560,1,368,2026-01-19 16:04:12.741 +0200
82,2024-09-21,1204,10.46,554,1,368,2026-01-19 16:04:12.741 +0200
83,2024-09-21,1250,10.89,582,1,368,2026-01-19 16:04:12.741 +0200
84,2024-09-21,1244,10.73,568,2,248,2026-01-19 16:04:12.741 +0200
85,2024-09-21,1212,10.55,549,1,368,2026-01-19 16:04:12.741 +0200
86,2024-09-21,1195,10.48,543,1,368,2026-01-19 16:04:12.741 +0200
87,2024-09-21,1275,11.13,577,1,368,2026-01-19 16:04:12.741 +0200
88,2024-09-21,1219,10.68,553,1,368,2026-01-19 16:04:12.741 +0200
89,2024-09-21,1282,11.26,590,1,368,2026-01-19 16:04:12.741 +0200
90,2024-09-21,1211,10.60,553,2,200,2026-01-19 16:04:12.741 +0200
91,2024-09-21,1191,10.56,544,1,368,2026-01-19 16:04:12.741 +0200
92,2024-09-21,1193,10.68,552,1,368,2026-01-19 16:04:12.741 +0200
93,2024-09-21,1253,11.36,576,1,368,2026-01-19 16:04:12.741 +0200
94,2024-09-21,1247,11.08,573,1,368,2026-01-19 16:04:12.741 +0200
95,2024-09-21,1201,10.81,556,1,368,2026-01-19 16:04:12.741 +0200
96,2024-09-21,1233,10.77,570,2,296,2026-01-19 16:04:12.741 +0200
97,2024-09-21,1231,10.84,563,1,368,2026-01-19 16:04:12.741 +0200
98,2024-09-21,1233,11.06,573,1,368,2026-01-19 16:04:12.741 +0200
99,2024-09-21,1297,11.65,600,1,368,2026-01-19 16:04:12.741 +0200
100,2024-09-21,1239,11.03,567,1,368,2026-01-19 16:04:12.741 +0200
101,2024-09-21,1225,10.94,566,1,368,2026-01-19 16:04:12.741 +0200
102,2024-09-21,1293,11.54,602,1,368,2026-01-19 16:04:12.741 +0200
103,2024-09-21,1251,11.43,575,2,344,2026-01-19 16:04:12.741 +0200
104,2024-09-21,1309,11.86,609,1,368,2026-01-19 16:04:12.741 +0200
105,2024-09-21,1254,11.44,579,1,368,2026-01-19 16:04:12.741 +0200
106,2024-09-21,1290,11.65,592,1,368,2026-01-19 16:04:12.741 +0200
107,2024-09-21,1268,11.50,586,1,368,2026-01-19 16:04:12.741 +0200
108,2024-09-21,1314,11.93,604,1,368,2026-01-19 16:04:12.741 +0200
109,2024-09-21,1360,11.88,622,2,248,2026-01-19 16:04:12.741 +0200
110,2024-09-21,1336,11.95,613,1,368,2026-01-19 16:04:12.741 +0200
111,2024-09-21,1325,11.90,607,1,368,2026-01-19 16:04:12.741 +0200
112,2024-09-21,1399,12.44,641,1,368,2026-01-19 16:04:12.741 +0200
113,2024-09-21,1345,12.08,617,1,368,2026-01-19 16:04:12.741 +0200
114,2024-09-21,1419,12.53,644,1,368,2026-01-19 16:04:12.741 +0200
115,2024-09-21,1365,12.25,624,2,200,2026-01-19 16:04:12.741 +0200
116,2024-09-21,1375,12.43,624,1,368,2026-01-19 16:04:12.741 +0200
117,2024-09-21,1397,12.62,632,1,368,2026-01-19 16:04:12.741 +0200
118,2024-09-21,1464,13.17,656,1,368,2026-01-19 16:04:12.741 +0200
119,2024-09-21,1429,12.95,653,1,368,2026-01-19 16:04:12.741 +0200
120,2024-09-21,1407,12.73,629,1,368,2026-01-19 16:04:12.741 +0200
121,2024-09-21,1417,12.73,640,2,296,2026-01-19 16:04:12.741 +0200
122,2024-09-21,1428,12.93,650,1,368,2026-01-19 16:04:12.741 +0200
123,2024-09-21,1464,13.18,663,1,368,2026-01-19 16:04:12.741 +0200
124,2024-09-21,1528,13.65,690,1,368,2026-01-19 16:04:12.741 +0200
125,2024-09-21,1436,13.08,654,1,368,2026-01-19 16:04:12.741 +0200
126,2024-09-21,1445,13.09,652,1,368,2026-01-19 16:04:12.741 +0200
127,2024-09-21,1513,13.54,689,1,368,2026-01-19 16:04:12.741 +0200
128,2024-09-21,1458,13.43,665,2,344,2026-01-19 16:04:12.741 +0200
129,2024-09-21,1536,13.66,699,1,368,2026-01-19 16:04:12.741 +0200
130,2024-09-21,1474,13.30,666,1,368,2026-01-19 16:04:12.741 +0200
131,2024-09-21,1490,13.45,678,1,368,2026-01-19 16:04:12.741 +0200
132,2024-09-21,1483,13.36,673,1,368,2026-01-19 16:04:12.741 +0200
133,2024-09-21,1537,13.83,694,1,368,2026-01-19 16:04:12.741 +0200
134,2024-09-21,1444,13.28,658,2,248,2026-01-19 16:04:12.741 +0200
135,2024-09-21,1400,12.88,636,1,368,2026-01-19 16:04:12.741 +0200
136,2024-09-21,1392,12.81,632,1,368,2026-01-19 16:04:12.741 +0200
137,2024-09-21,1479,13.38,671,1,368,2026-01-19 16:04:12.741 +0200
138,2024-09-21,1420,13.00,643,1,368,2026-01-19 16:04:12.741 +0200
139,2024-09-21,1493,13.53,680,1,368,2026-01-19 16:04:12.741 +0200
140,2024-09-21,792,12.90,360,1,207,2026-01-19 16:04:12.741 +0200
140,2024-09-22,518,11.20,231,1,161,2026-01-19 16:04:12.741 +0200
141,2024-09-22,1174,11.11,528,1,368,2026-01-19 16:04:12.741 +0200
142,2024-09-22,1182,11.16,536,1,368,2026-01-19 16:04:12.741 +0200
143,2024-09-22,1251,11.92,570,1,368,2026-01-19 16:04:12.741 +0200
144,2024-09-22,1235,11.64,557,1,368,2026-01-19 16:04:12.741 +0200
145,2024-09-22,1183,11.36,540,1,368,2026-01-19 16:04:12.741 +0200
146,2024-09-22,1181,10.52,533,2,296,2026-01-19 16:04:12.741 +0200
147,2024-09-22,1016,9.85,453,1,368,2026-01-19 16:04:12.741 +0200
148,2024-09-22,1025,10.06,457,1,368,2026-01-19 16:04:12.741 +0200
149,2024-09-22,1100,10.53,494,1,368,2026-01-19 16:04:12.741 +0200
150,2024-09-22,1054,10.22,471,1,368,2026-01-19 16:04:12.741 +0200
151,2024-09-22,1016,9.94,467,1,368,2026-01-19 16:04:12.741 +0200
152,2024-09-22,1110,10.58,499,1,368,2026-01-19 16:04:12.741 +0200
153,2024-09-22,970,10.23,429,2,344,2026-01-19 16:04:12.741 +0200
154,2024-09-22,1031,9.96,461,1,368,2026-01-19 16:04:12.741 +0200
155,2024-09-22,980,9.69,444,1,368,2026-01-19 16:04:12.741 +0200
156,2024-09-22,1017,9.97,461,1,368,2026-01-19 16:04:12.741 +0200
157,2024-09-22,992,9.73,458,1,368,2026-01-19 16:04:12.741 +0200
158,2024-09-22,1060,10.40,476,1,368,2026-01-19 16:04:12.741 +0200
159,2024-09-22,981,9.84,441,2,248,2026-01-19 16:04:12.741 +0200
160,2024-09-22,931,9.29,430,1,368,2026-01-19 16:04:12.741 +0200
161,2024-09-22,926,9.23,425,1,368,2026-01-19 16:04:12.741 +0200
162,2024-09-22,1001,9.92,458,1,368,2026-01-19 16:04:12.741 +0200
163,2024-09-22,961,9.56,441,1,368,2026-01-19 16:04:12.741 +0200
164,2024-09-22,1007,9.99,468,1,368,2026-01-19 16:04:12.741 +0200
165,2024-09-22,936,9.30,427,2,200,2026-01-19 16:04:12.741 +0200
166,2024-09-22,887,8.92,420,1,368,2026-01-19 16:04:12.741 +0200
167,2024-09-22,896,8.92,426,1,368,2026-01-19 16:04:12.741 +0200
168,2024-09-22,969,9.75,454,1,368,2026-01-19 16:04:12.741 +0200
169,2024-09-22,953,9.47,451,1,368,2026-01-19 16:04:12.741 +0200
170,2024-09-22,904,9.11,430,1,368,2026-01-19 16:04:12.741 +0200
171,2024-09-22,955,9.38,449,2,296,2026-01-19 16:04:12.741 +0200
172,2024-09-22,952,9.54,444,1,368,2026-01-19 16:04:12.741 +0200
173,2024-09-22,956,9.66,441,1,368,2026-01-19 16:04:12.741 +0200
174,2024-09-22,1039,10.25,478,1,368,2026-01-19 16:04:12.741 +0200
175,2024-09-22,965,9.81,455,1,368,2026-01-19 16:04:12.741 +0200
176,2024-09-22,956,9.60,448,1,368,2026-01-19 16:04:12.741 +0200
177,2024-09-22,1021,10.16,476,1,368,2026-01-19 16:04:12.741 +0200
178,2024-09-22,1029,10.37,468,2,344,2026-01-19 16:04:12.741 +0200
179,2024-09-22,1090,10.76,503,1,368,2026-01-19 16:04:12.741 +0200
180,2024-09-22,1044,10.39,483,1,368,2026-01-19 16:04:12.741 +0200
181,2024-09-22,1058,10.44,486,1,368,2026-01-19 16:04:12.741 +0200
182,2024-09-22,1049,10.42,481,1,368,2026-01-19 16:04:12.741 +0200
183,2024-09-22,1099,10.91,502,1,368,2026-01-19 16:04:12.741 +0200
184,2024-09-22,1226,11.57,576,2,248,2026-01-19 16:04:12.741 +0200
185,2024-09-22,1251,12.19,597,1,368,2026-01-19 16:04:12.741 +0200
186,2024-09-22,1235,12.04,587,1,368,2026-01-19 16:04:12.741 +0200
187,2024-09-22,1342,12.91,639,1,368,2026-01-19 16:04:12.741 +0200
188,2024-09-22,1311,12.68,616,1,368,2026-01-19 16:04:12.741 +0200
189,2024-09-22,1365,13.08,643,1,368,2026-01-19 16:04:12.741 +0200
190,2024-09-22,1406,13.25,671,2,200,2026-01-19 16:04:12.741 +0200
191,2024-09-22,1534,13.99,740,1,368,2026-01-19 16:04:12.741 +0200
192,2024-09-22,1492,13.67,714,1,368,2026-01-19 16:04:12.741 +0200
193,2024-09-22,1573,14.35,762,1,368,2026-01-19 16:04:12.741 +0200
194,2024-09-22,1553,14.16,747,1,368,2026-01-19 16:04:12.741 +0200
195,2024-09-22,1443,13.26,686,1,368,2026-01-19 16:04:12.741 +0200
196,2024-09-22,1569,14.70,751,2,296,2026-01-19 16:04:12.741 +0200
197,2024-09-22,1794,15.66,874,1,368,2026-01-19 16:04:12.741 +0200
198,2024-09-22,1716,15.19,842,1,368,2026-01-19 16:04:12.741 +0200
199,2024-09-22,1879,16.22,909,1,368,2026-01-19 16:04:12.741 +0200
200,2024-09-22,1772,15.63,871,1,368,2026-01-19 16:04:12.741 +0200
201,2024-09-22,1737,15.36,851,1,368,2026-01-19 16:04:12.741 +0200
202,2024-09-22,1784,15.71,876,1,368,2026-01-19 16:04:12.741 +0200
203,2024-09-22,1823,16.65,883,2,344,2026-01-19 16:04:12.741 +0200
204,2024-09-22,1743,16.29,843,1,368,2026-01-19 16:04:12.741 +0200
205,2024-09-22,1750,16.64,859,1,368,2026-01-19 16:04:12.741 +0200
206,2024-09-22,1733,16.42,849,1,368,2026-01-19 16:04:12.741 +0200
207,2024-09-22,1665,15.88,813,1,368,2026-01-19 16:04:12.741 +0200
208,2024-09-22,1764,16.61,856,1,368,2026-01-19 16:04:12.741 +0200
209,2024-09-22,1891,16.80,909,2,248,2026-01-19 16:04:12.741 +0200
210,2024-09-22,1797,16.98,871,1,368,2026-01-19 16:04:12.741 +0200
211,2024-09-22,1793,16.85,868,1,368,2026-01-19 16:04:12.741 +0200
212,2024-09-22,1922,17.86,930,1,368,2026-01-19 16:04:12.741 +0200
213,2024-09-22,1827,17.14,882,1,368,2026-01-19 16:04:12.741 +0200
214,2024-09-22,1917,17.76,927,1,368,2026-01-19 16:04:12.741 +0200
215,2024-09-22,1873,17.70,909,2,200,2026-01-19 16:04:12.741 +0200
216,2024-09-22,1941,18.16,940,1,368,2026-01-19 16:04:12.741 +0200
217,2024-09-22,1843,17.43,893,1,368,2026-01-19 16:04:12.741 +0200
218,2024-09-22,2066,19.23,1001,1,368,2026-01-19 16:04:12.741 +0200
219,2024-09-22,1986,18.54,966,1,368,2026-01-19 16:04:12.741 +0200
220,2024-09-22,1892,17.76,914,1,368,2026-01-19 16:04:12.741 +0200
221,2024-09-22,1942,19.40,936,2,296,2026-01-19 16:04:12.741 +0200
222,2024-09-22,2184,20.63,1044,1,368,2026-01-19 16:04:12.741 +0200
223,2024-09-22,2036,19.65,980,1,368,2026-01-19 16:04:12.741 +0200
224,2024-09-22,2292,21.55,1104,1,368,2026-01-19 16:04:12.741 +0200
225,2024-09-22,2085,19.94,1007,1,368,2026-01-19 16:04:12.741 +0200
226,2024-09-22,2035,19.41,981,1,368,2026-01-19 16:04:12.741 +0200
227,2024-09-22,2140,20.27,1031,1,368,2026-01-19 16:04:12.741 +0200
228,2024-09-22,2368,21.02,1137,2,344,2026-01-19 16:04:12.741 +0200
229,2024-09-22,2248,21.47,1076,1,368,2026-01-19 16:04:12.741 +0200
230,2024-09-22,2314,22.08,1116,1,368,2026-01-19 16:04:12.741 +0200
231,2024-09-22,2282,21.77,1096,1,368,2026-01-19 16:04:12.741 +0200
232,2024-09-22,2222,21.06,1063,1,368,2026-01-19 16:04:12.741 +0200
233,2024-09-22,2384,22.84,1144,1,368,2026-01-19 16:04:12.741 +0200
234,2024-09-22,2298,21.33,1101,2,248,2026-01-19 16:04:12.741 +0200
235,2024-09-22,2076,20.21,990,1,368,2026-01-19 16:04:12.741 +0200
236,2024-09-22,2066,19.94,995,1,368,2026-01-19 16:04:12.741 +0200
237,2024-09-22,2218,21.29,1070,1,368,2026-01-19 16:04:12.741 +0200
238,2024-09-22,2142,20.57,1039,1,368,2026-01-19 16:04:12.741 +0200
239,2024-09-22,2252,21.31,1084,1,368,2026-01-19 16:04:12.741 +0200
240,2024-09-22,2106,20.30,1014,2,200,2026-01-19 16:04:12.741 +0200
241,2024-09-22,2064,19.79,997,1,368,2026-01-19 16:04:12.741 +0200
242,2024-09-22,1964,19.03,959,1,368,2026-01-19 16:04:12.741 +0200
243,2024-09-22,2244,21.43,1086,1,368,2026-01-19 16:04:12.741 +0200
244,2024-09-22,2154,20.48,1051,1,368,2026-01-19 16:04:12.741 +0200
245,2024-09-22,2048,19.74,1001,1,368,2026-01-19 16:04:12.741 +0200
246,2024-09-22,2040,20.01,998,2,296,2026-01-19 16:04:12.741 +0200
247,2024-09-22,2052,19.74,1003,1,368,2026-01-19 16:04:12.741 +0200
248,2024-09-22,1946,18.96,947,1,368,2026-01-19 16:04:12.741 +0200
249,2024-09-22,2176,21.01,1062,1,368,2026-01-19 16:04:12.741 +0200
250,2024-09-22,1996,19.38,975,1,368,2026-01-19 16:04:12.741 +0200
251,2024-09-22,1942,18.96,949,1,368,2026-01-19 16:04:12.741 +0200
252,2024-09-22,2044,19.67,999,1,368,2026-01-19 16:04:12.741 +0200
253,2024-09-22,2012,19.10,980,2,344,2026-01-19 16:04:12.741 +0200
254,2024-09-22,1956,19.05,953,1,368,2026-01-19 16:04:12.741 +0200
255,2024-09-22,1934,19.18,960,1,368,2026-01-19 16:04:12.741 +0200
256,2024-09-22,1930,19.11,959,1,368,2026-01-19 16:04:12.741 +0200
257,2024-09-22,1880,18.71,933,1,368,2026-01-19 16:04:12.741 +0200
258,2024-09-22,2030,19.79,1005,1,368,2026-01-19 16:04:12.741 +0200
259,2024-09-22,1864,18.40,928,2,248,2026-01-19 16:04:12.741 +0200
260,2024-09-22,1846,18.52,909,1,368,2026-01-19 16:04:12.741 +0200
261,2024-09-22,1764,17.79,868,1,368,2026-01-19 16:04:12.741 +0200
262,2024-09-22,2529,23.93,1254,2,296,2026-01-19 16:04:12.741 +0200
263,2024-09-22,2124,21.09,1061,2,248,2026-01-19 16:04:12.741 +0200
264,2024-09-22,1714,17.74,865,2,176,2026-01-19 16:04:12.741 +0200
265,2024-09-22,2419,23.22,1207,3,224,2026-01-19 16:04:12.741 +0200
266,2024-09-22,2047,20.68,1025,2,200,2026-01-19 16:04:12.741 +0200
267,2024-09-22,1680,17.61,845,2,200,2026-01-19 16:04:12.741 +0200
268,2024-09-22,2158,21.62,1072,2,224,2026-01-19 16:04:12.741 +0200
269,2024-09-22,1896,19.63,926,2,176,2026-01-19 16:04:12.741 +0200
270,2024-09-22,1615,17.30,810,2,248,2026-01-19 16:04:12.741 +0200
271,2024-09-22,1887,19.60,939,2,224,2026-01-19 16:04:12.741 +0200
272,2024-09-22,1707,18.23,835,2,200,2026-01-19 16:04:12.741 +0200
273,2024-09-22,1621,17.04,806,2,248,2026-01-19 16:04:12.741 +0200
274,2024-09-22,1516,16.58,756,2,200,2026-01-19 16:04:12.741 +0200
275,2024-09-22,840,14.65,434,1,253,2026-01-19 16:04:12.741 +0200
275,2024-09-23,358,14.10,186,1,115,2026-01-19 16:04:12.741 +0200
276,2024-09-22,594,13.70,308,1,207,2026-01-19 16:04:12.741 +0200
276,2024-09-23,438,13.36,228,1,161,2026-01-19 16:04:12.741 +0200
277,2024-09-22,697,14.64,354,1,207,2026-01-19 16:04:12.741 +0200
277,2024-09-23,455,13.47,234,1,161,2026-01-19 16:04:12.741 +0200
278,2024-09-22,850,14.72,439,1,253,2026-01-19 16:04:12.741 +0200
278,2024-09-23,365,14.18,188,1,115,2026-01-19 16:04:12.741 +0200
279,2024-09-22,539,13.84,279,1,184,2026-01-19 16:04:12.741 +0200
279,2024-09-23,507,13.44,264,1,184,2026-01-19 16:04:12.741 +0200
280,2024-09-22,824,14.43,420,1,253,2026-01-19 16:04:12.741 +0200
280,2024-09-23,299,13.02,155,1,115,2026-01-19 16:04:12.741 +0200
281,2024-09-23,980,13.64,507,2,296,2026-01-19 16:04:12.741 +0200
282,2024-09-23,834,12.21,437,1,368,2026-01-19 16:04:12.741 +0200
283,2024-09-23,836,12.23,437,1,368,2026-01-19 16:04:12.741 +0200
284,2024-09-23,767,11.79,395,2,176,2026-01-19 16:04:12.741 +0200
285,2024-09-23,665,11.25,345,2,296,2026-01-19 16:04:12.741 +0200
286,2024-09-23,639,11.18,332,2,272,2026-01-19 16:04:12.741 +0200
287,2024-09-23,581,10.51,294,3,152,2026-01-19 16:04:12.741 +0200
288,2024-09-23,436,9.80,214,2,248,2026-01-19 16:04:12.741 +0200
289,2024-09-23,472,10.06,232,2,176,2026-01-19 16:04:12.741 +0200
